   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
10 ,120        ,SLC           ,catenary      ,0        ,0           ,517502.5066027393 ,1749297.6294424864,1905112.8227623098,1018671.2437842633,215.45409269837677,1673244.02394488            ,727158.4487862313 ,1215803.06396457  ,1898093.3685040548,645321          ,352614
11 ,120        ,SLC           ,catenary      ,0        ,8           ,544319.1225953622 ,2617172.0931924107,1272295.1295912974,1631261.6012316016,125.47105856067236,2302245.581931188           ,903287.1311950109 ,2616912.368421946 ,1082876.8755588816,435621          ,534162
12 ,120        ,SLC           ,catenary      ,30       ,-8          ,592286.769951978  ,1225934.3995539928,2082628.1101314567,1186113.4340908474,203.5582785618226 ,1821004.015579037           ,653994.5486095649 ,1467547.0268364954,2014953.3448937726,361524          ,214563
13 ,120        ,SLC           ,catenary      ,30       ,0           ,707772.0292051425 ,2324806.0134354155,1036469.450765381 ,1345844.1931613567,130.82815296073147,2028039.894934076           ,835226.5502145687 ,2303082.774076178 ,1127175.9615056312,615234          ,216534
14 ,120        ,SLC           ,catenary      ,30       ,8           ,904522.0094368343 ,3043283.202914437 ,680094.2243940347 ,2055279.4492855172,116.19123207364538,2704755.611589962           ,1071354.7598703646,3043271.8769407826,913709.0261746916 ,645312          ,354621
15 ,120        ,SLC           ,catenary      ,60       ,-8          ,849359.9714308887 ,2116770.7721638554,917642.6421248338 ,1259804.1861502612,142.7073879727401 ,1872947.6859816087          ,673449.7392957136 ,2116379.006872114 ,1234998.9766384938,312564          ,436125
16 ,120        ,SLC           ,catenary      ,60       ,0           ,1163808.8813791065,2042433.6162071882,689138.514220287  ,968832.6214450748 ,115.24338078564702,1771154.099855057           ,1119015.1787855227,2038127.4245790958,1026247.8836559175,452163          ,546132
17 ,120        ,SLC           ,catenary      ,60       ,8           ,1841861.9396681483,2212687.3651796007,446686.8910791937 ,1360023.1148826627,93.59361230558584 ,1970896.2568685338          ,1343327.4459915096,2212238.449967749 ,644906.9073679951 ,645231          ,516234
18 ,125        ,DLC1.6        ,catenary      ,0        ,-8          ,273188.18067667406,3278870.981003047 ,2076275.213276173 ,2504456.527881388 ,147.92399386996453,3102738.1320792353          ,388824.9092593998 ,3278824.1179316505,1743100.0381050725,651243          ,435261
19 ,125        ,DLC1.6        ,catenary      ,0        ,0           ,232892.1484985592 ,3042613.2804718064,2619608.4870097036,2459831.3829783197,194.0525837131153 ,2879997.096503384           ,236930.53290596578,2278309.053163411 ,2967985.466058639 ,245631          ,634521
