   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
54 ,135        ,DLC1.6        ,taut          ,0        ,-8          ,4965236.570790577 ,9895969.35728613  ,9554015.95383768  ,4214604.842969844 ,174.64434855285512,9358252.104959812           ,4901061.619161412 ,9324386.550697392 ,8870148.733363587 ,314265          ,256314
55 ,135        ,DLC1.6        ,taut          ,0        ,0           ,4912369.00671418  ,9730275.450331803 ,9758630.917121813 ,4158011.8256521127,174.46252075331688,9544549.481234865           ,4938141.4535008725,9308402.217021149 ,8845095.864129579 ,246531          ,345162
56 ,135        ,DLC1.6        ,taut          ,0        ,8           ,4929664.121249238 ,9554369.16151798  ,9932395.199809521 ,3906090.0886144754,181.2469899179678 ,9429397.128722597           ,4881509.487287245 ,8737596.4135997   ,8835752.59334983  ,254163          ,641325
57 ,135        ,DLC1.6        ,taut          ,30       ,-8          ,5381028.838365132 ,10738400.16199631 ,8338652.807896472 ,4641949.591957828 ,145.97270750422888,9768679.26969472            ,5174713.174354914 ,10521539.31529552 ,7522114.468668155 ,412365          ,531264
58 ,135        ,DLC1.6        ,taut          ,30       ,0           ,5237324.997728691 ,10639485.177653326,8578442.940645413 ,4192444.718784841 ,146.6662239100188 ,9648054.06380005            ,5477438.752823121 ,10310264.514873471,7650050.310402909 ,645312          ,562143
59 ,135        ,DLC1.6        ,taut          ,30       ,8           ,5165328.757468403 ,10514835.626802385,8778250.893196024 ,4055823.8667329988,163.5027870959349 ,9770991.469019966           ,5322520.487308349 ,9876330.400686081 ,8546430.561500821 ,362145          ,352614
60 ,135        ,DLC1.6        ,taut          ,60       ,-8          ,6480824.504300702 ,10743065.464437535,7260914.721657403 ,3743775.8590894653,95.34031282619927 ,9669233.402638348           ,7671381.640427314 ,10171907.2117672  ,5867731.103259236 ,465213          ,461325
61 ,135        ,DLC1.6        ,taut          ,60       ,0           ,6232412.070699645 ,10799843.341997646,7440996.686457562 ,3607404.1313584624,154.52015481199962,9685890.238070162           ,6036013.046958687 ,10188528.559756935,8396569.508806014 ,241563          ,215643
62 ,135        ,DLC1.6        ,taut          ,60       ,8           ,5985841.425463412 ,10783019.306761319,7694913.962174031 ,3916507.5724749556,134.35115710155   ,9669264.099725557           ,5894072.5328831505,10248834.247723227,7015011.545961537 ,561324          ,412635
63 ,135        ,SLC           ,taut          ,0        ,-8          ,9658961.324286735 ,6936234.01923946  ,7178122.111265953 ,2630843.8013442284,190.3490115999242 ,9128080.308199527           ,5833337.046732407 ,8148517.32944643  ,8694245.802139796 ,234561          ,532614
64 ,135        ,SLC           ,taut          ,0        ,0           ,9652110.9231996   ,7065494.412715308 ,7028881.482038934 ,2525929.0568881254,188.652492312592  ,9061110.032153502           ,5998617.017345157 ,8276403.180366622 ,8715193.605486002 ,542361          ,634521
65 ,135        ,SLC           ,taut          ,0        ,8           ,9681353.76775676  ,7153419.889357192 ,6934512.215438493 ,2860130.966035857 ,162.955542106175  ,9139316.342891643           ,5895592.187633631 ,9114117.155789033 ,8146081.554255569 ,642513          ,564213
66 ,135        ,SLC           ,taut          ,30       ,-8          ,6422722.219919304 ,9534498.291710429 ,7879823.907622756 ,2607340.2965625008,175.7477653271808 ,9174036.484086167           ,6174243.230905595 ,8886023.950287618 ,8662788.621737843 ,246513          ,246513
67 ,135        ,SLC           ,taut          ,30       ,0           ,6587724.73915358  ,9660353.732057266 ,7535219.220227599 ,2703834.0355913755,128.17193152626794,9092209.777447766           ,6470341.865003957 ,9368616.400539862 ,6914132.411724669 ,256341          ,435612
68 ,135        ,SLC           ,taut          ,30       ,8           ,6786529.8829615535,9853858.894769263 ,7189556.984292815 ,2485316.2774084317,45.34233520942699 ,9277624.322640453           ,9223557.721466547 ,8497375.427391168 ,6456034.946043497 ,451263          ,246531
69 ,135        ,SLC           ,taut          ,60       ,-8          ,5972354.890684892 ,8565599.978890134 ,9438887.1930778   ,2256979.9049911266,206.42896173905032,8990402.100356642           ,6579286.302166715 ,8020402.464053818 ,9180361.984063415 ,345612          ,264135
70 ,135        ,SLC           ,taut          ,60       ,0           ,9459734.20248117  ,7027878.218444875 ,6958009.463638879 ,2468564.7875939966,68.84857108148842 ,9025581.436308471           ,8539616.942614842 ,8978083.691513982 ,6319665.557122812 ,516243          ,562314
71 ,135        ,SLC           ,taut          ,60       ,8           ,9687881.9950729   ,7236750.784369833 ,6580824.224660148 ,2911095.9198249863,71.32846233987856 ,9104807.259526897           ,8138998.727184033 ,8799298.107588237 ,5614768.799921062 ,315642          ,435162
72 ,140        ,DLC1.6        ,taut          ,0        ,-8          ,5033755.473027581 ,9969131.365385609 ,9525606.293370634 ,3860276.0087112356,174.2779988711675 ,9556289.96732985            ,5194576.017221341 ,9257826.266518965 ,8813409.043223541 ,564312          ,542163
