,Feb
0,6.912962647115733
1,7.520364835796784
2,7.309922568346863
3,7.605610115508815
4,8.916777147555624
5,9.926713532245685
6,10.273441497829133
7,10.473877441208886
8,10.190352440276813
9,9.62171974765625
10,7.281942524570889
11,7.876532870080953
12,6.26679407606475
13,2.5393143071510496
14,2.9795786084306766
15,4.133063363318154
16,3.0578353384631085
17,2.839178103093026
18,4.789618521701146
19,6.037486149310068
20,6.32890874674429
21,6.155680669425608
22,4.643297693564229
23,4.2725303490173445
24,4.366944548862535
25,5.780319799138616
26,7.231948628695905
27,8.26397007294902
28,9.072920331619008
29,9.108760623597332
30,8.861203973804697
31,8.905287934205612
32,9.263945503144217
33,9.241009781337391
34,9.279817669731589
35,9.145458291195627
36,9.114388246951094
37,10.502773136620062
38,10.582966799672286
39,9.693240015783555
40,8.323566646424071
41,5.301270920413598
42,5.321250135110314
43,6.802529147033787
44,8.26242150053942
45,9.041118681223743
46,9.839571190558354
47,9.6852734953849
48,8.900701304792726
49,8.676538073633195
50,9.949716885426428
51,11.621307636007712
52,11.640755912052672
53,10.671060580303909
54,9.715789079643283
55,9.33976021714568
56,9.732884699180161
57,10.511321843515628
58,10.453501340220134
59,12.010869260784524
60,11.453489984729906
61,12.059784623712929
62,13.250417204644574
63,14.422684479622855
64,15.260706739484988
65,14.714807209422009
66,14.123870306650744
67,13.868146613902558
68,13.840645640003585
69,13.646551993675962
70,11.122995011584212
71,12.246960738453136
72,13.89712813610571
73,13.976714788888128
74,13.163628156822297
75,11.858619567197875
76,11.447402846331466
77,11.637222222368736
78,11.61990567951826
79,11.569658581190502
80,11.41792731514933
81,11.24815491165685
82,10.371547463925227
83,11.167187586304003
84,10.703556078269648
85,10.625007852574536
86,9.700420004944775
87,9.181061421271162
88,8.89016485255338
89,8.54127760370301
90,8.322459416450954
91,8.146392315514571
92,8.25692247594611
93,8.41551834192157
94,9.01265739970761
95,9.242698024872999
96,8.858523129792877
97,8.6410828505926
98,8.182133458912993
99,7.690977163643894
100,7.161502700991711
101,6.952064881154549
102,6.500867891821915
103,6.498347243287967
104,6.240527146791745
105,5.59998731353356
106,5.336662432372681
107,5.482511356539064
108,5.319379520470935
109,4.576516405375793
110,4.2456308731874275
111,4.095273662944418
112,4.153719827892877
113,4.6708460012807285
114,5.100669996389914
115,5.486957818649407
116,5.628604362385108
117,6.065741397438624
118,5.12137701357322
119,5.569105629107545
120,5.689429091994706
121,6.328379083942914
122,7.081874554160007
123,7.441530341357362
124,7.209323528462878
125,7.160091819363812
126,7.080386059971155
127,7.31292016117401
128,7.330479686111027
129,7.657093570637652
130,7.026820377405997
131,7.535159615041776
132,8.417581113498718
133,9.28346530038907
134,9.557579512321892
135,9.392668503197415
136,9.374944841648432
137,9.857235671069303
138,9.987508862949014
139,9.871603290167707
140,10.059552493954653
141,10.996072961704654
142,9.14060099990879
143,10.76680763659222
144,12.207287690418894
145,13.365980966740569
146,13.796460206388682
147,14.16089606076848
148,14.80757962266892
149,15.24277911853395
150,15.654729466716072
151,16.243330492151795
152,16.69792952312078
153,17.28073978416504
154,16.27415967271729
155,17.263025140128228
156,17.54107116530019
157,17.165458176330436
158,16.654807122121618
159,16.148046030852697
160,15.809936847725009
161,15.377279829267625
162,14.954608716833553
163,15.043614212465265
164,15.342435038132034
165,15.434567494835001
166,15.08143932572669
167,14.534850695218564
168,14.010834190224529
169,13.838255690366767
170,13.396730770724503
171,12.610399273858825
172,12.032526908343495
173,11.939164964961664
174,11.63982218880687
175,11.38359229280613
176,10.620102263566583
177,10.0611539696686
178,9.770067005405531
179,9.283953603803585
180,8.588467216580806
181,7.764930614443974
182,7.039685612466558
183,6.26432390939788
184,5.283981364043535
185,3.7952006299823458
186,3.1024190824576716
187,2.266003996585661
188,2.422313547853595
189,3.1790028096430096
190,5.131658893370799
191,6.137274958198917
