,Apr
0,3.029194456196402
1,3.46527917120685
2,3.5773071659221003
3,3.263950347430877
4,2.8324265454563378
5,2.7855829892298867
6,2.8910550638049335
7,3.072273606108868
8,3.2722197682542276
9,3.3686768721171103
10,2.1106014757140366
11,1.451357311149913
12,1.3096401119821843
13,1.902033782332854
14,3.1086756931583235
15,3.732313991709022
16,3.589972077490314
17,3.108673387242505
18,2.4746633116849766
19,1.7414651615172279
20,1.520063427215965
21,1.7378225885885539
22,1.7402168805468612
23,2.4466820752239893
24,3.031630319427478
25,3.14829388893453
26,2.9382329572213766
27,2.7197724124313427
28,2.4357379825917955
29,2.2780130730414307
30,2.525690449878222
31,2.95802474809702
32,3.5196277971065055
33,4.005486704459839
34,3.468506023467362
35,3.9162354236188612
36,4.28405750722711
37,4.92512020559372
38,5.296174715225637
39,5.130751589679499
40,4.606708097175208
41,3.93092175808327
42,3.6140381128506847
43,3.83006078660544
44,4.418584982931766
45,4.944128677772373
46,4.76453072051553
47,4.5916301075386805
48,4.272420987676982
49,4.291097872394398
50,4.663772705580801
51,3.893996983059043
52,3.1219009922099454
53,4.3005739233712585
54,4.2444705531746205
55,3.192449268996544
56,2.08018260664611
57,1.8104193228963943
58,2.0659160307927213
59,3.422341024510474
60,6.932556398613607
61,9.669777931394385
62,10.505404874506459
63,11.238651855612856
64,14.624483307198298
65,17.205031033533093
66,16.4400467023556
67,16.191450821100016
68,16.57633552526572
69,16.35035341510809
70,14.600389102271498
71,14.532465608777452
72,14.284187027357785
73,13.220599055120811
74,12.475385334947738
75,11.423718510397483
76,9.689772910084034
77,7.877945300862164
78,5.924503316204431
79,5.180516848599187
80,5.201476684845095
81,4.6648924737587745
82,3.5196626051708155
83,3.7452570414848854
84,3.8435783215449035
85,4.29764247552456
86,3.4037877436478605
87,2.176934115716233
88,2.717164705407353
89,4.832892158776122
90,6.326649227548316
91,7.25619947792582
92,7.593968909232328
93,7.337491102414339
94,7.880304000734065
95,6.514681167196986
96,5.774820517833127
97,5.195674463936471
98,4.8257027061593245
99,4.809409870670331
100,4.835393457753811
101,5.0722531065644025
102,5.69931455787161
103,6.181102282741659
104,7.262161900341378
105,8.078918860570269
106,7.0774604132873264
107,5.828877941604317
108,9.481511224988248
109,11.116638783547016
110,11.413139182773905
111,11.35680635924129
112,11.542528005418013
113,11.123946537716074
114,10.413086015854827
115,10.05918188890039
116,10.016368107824432
117,9.897881373469641
118,9.34862486157575
119,10.07982460878755
120,9.960738412636907
121,8.982552359882465
122,7.803744012161703
123,6.789628597127927
124,5.412077757618323
125,3.2997307544873515
126,1.2076279695311625
127,1.3814070728451975
128,3.492465335923676
129,5.303042545467015
130,8.260612993619292
131,10.097524052878578
132,9.859039857045728
133,8.028682497203867
134,7.301836092202024
135,8.113809429268692
136,7.521668764306426
137,6.120262341247119
138,5.590740917074037
139,5.776031291200999
140,6.06489354349084
141,6.498774695812041
142,5.828474902489795
143,6.5531199273545875
144,7.726734198781945
145,8.30419341284631
146,7.974961518207009
147,8.715766569070492
148,9.70156483770362
149,10.383028580172356
150,11.081729101230932
151,11.716446939824909
152,12.066725424301767
153,12.029274121919714
154,12.398967444282423
155,12.157226971097302
156,10.98218039763543
157,9.721469878672007
158,8.900166675179218
159,8.068078690770971
160,7.074409437220116
161,6.266913721414279
162,5.795565219932868
163,5.74235610785762
164,5.715618823453925
165,5.734135801268922
166,4.998516491836807
167,5.27851177116439
168,5.33821965739433
169,4.94228751616699
170,4.268384831370642
171,3.477985689554047
172,3.0617596977714325
173,3.0673578170546913
174,3.222964353517436
175,2.923515114674034
176,2.2177858015620027
177,2.04349365128382
178,1.7341164028582379
179,2.798405620657975
180,3.8849661466453544
181,4.48046540591314
182,4.4474101688112775
183,4.292290527175057
184,4.141274706789721
185,4.366280840599123
186,4.522869753348982
187,4.2643250142082145
188,3.807620740882652
189,3.354116746661554
190,3.9923222451749063
191,3.157005509955831
192,2.749500306240368
193,2.7000125476616024
194,2.957984661323241
195,3.326013064747353
196,3.8157645033538934
197,4.380844236525214
198,5.0775764883202745
199,6.373438387779879
200,8.090262494538798
201,9.12136240631756
202,9.832927992735067
203,10.408992107227128
204,10.452526157044842
205,10.294755279992874
206,9.859794198848544
207,9.259671322263864
208,8.808224144829405
209,8.181342560662536
210,7.644031721967348
211,7.377358403392642
212,6.944746106245791
213,6.462426343227216
214,4.97555739244921
215,8.055615327134312
216,10.08808300690412
217,10.753759356637453
218,11.838660396449916
219,11.850170946987774
220,11.904220796536768
221,11.951108193341167
222,11.996468814514396
223,11.84636710727926
224,11.760406281160344
225,11.756693380115118
226,9.723583695106583
227,9.348610492370653
228,9.049786199340623
229,8.805998672876706
230,8.92177869192903
231,8.465948214396784
232,7.500861120055799
233,6.963754000764581
234,6.936955535300125
235,6.7619132847601024
236,6.621334288786279
237,6.426908246687204
238,5.796967799666124
239,5.689827003257755
240,5.569421094006955
241,5.418255524165665
242,4.747169063890563
243,4.402451020422227
244,4.878388169672713
245,4.754195039093445
246,4.530574111873371
247,4.838198319252159
248,5.481854658176549
249,5.773285246370396
250,4.6191934202781315
251,5.417070158500202
252,6.254343729231557
253,6.875982259844761
254,6.849214916083605
255,6.80885618763035
256,6.1835819774419765
257,5.737188414240231
258,5.815148877796341
259,6.1739693549954975
260,6.150266453631879
