,Oct
276,13.171345483791876
277,12.589739309335696
278,12.729128459737161
279,13.70725769526945
280,14.593972704501414
281,15.399260127495241
282,15.63470121711983
283,17.522301865655322
284,18.808163657235642
285,20.00151783091947
286,19.14244166581572
287,21.50126280972816
288,23.73898417159079
289,23.885061213938535
290,24.77359847514298
291,24.606050940287883
292,25.193759786957646
293,26.432940474056373
294,24.518250628363962
295,23.12822275883969
296,22.356458330077857
297,21.962284003286413
298,20.584163894147657
299,20.968959357479072
300,21.355837252190305
301,20.713835895952815
302,19.798119590232893
303,18.924427209030394
304,18.623164725479302
305,17.774915057608826
306,16.87731972961305
307,16.246625911307945
308,15.74873957380272
309,14.98080163848899
310,13.082287715239092
311,12.55998178240085
312,11.945933366110541
313,11.403935301796222
314,11.200674324932702
315,11.090481630902712
316,10.95797008996416
317,10.785194628157118
318,10.628640686262537
319,10.220152860585962
320,9.602185363900345
321,9.019505265670084
322,7.79352626416698
323,7.259281482931428
324,6.519575269230973
325,6.1183194858908925
326,5.790037658209728
327,5.452857306651161
328,5.2422424333171325
329,4.9661187669968765
330,4.530015380950153
331,3.9019751343594256
332,3.5676086086179524
333,3.329320690807093
334,3.0589791142087113
335,2.929164767007314
336,2.879073845937716
337,2.6477919272970993
338,2.6270557380039183
339,2.6140550739750754
340,2.339305894844098
341,1.9392806115596979
342,1.999293830075611
343,2.66078259014169
344,3.5745191567375136
345,4.195329679141479
346,3.6162190552282345
347,4.0429450172208306
348,4.915764937420819
349,5.562557791635783
350,6.217506443375871
351,6.88081088331019
352,6.989044981898943
353,7.323185990176164
354,7.953693724784039
355,8.80367793191943
356,9.548559872603708
357,10.13698598364755
358,9.942895400619856
359,8.770498861332626
360,8.045416917087287
361,7.671597205443993
362,7.985709429521009
363,9.063845216726605
364,9.65613707701504
365,10.133314321256501
366,9.42643366982081
367,8.611300507803366
368,9.064064073231698
369,10.271558330871123
370,9.551701042089173
371,9.931657799034292
372,9.993583391712074
373,9.789832609540833
374,9.233592091357112
375,8.635028704555905
376,8.498912034207873
377,8.393719925366192
378,8.026085618769756
379,7.3979585253108615
380,6.589103959845076
381,5.841586550395956
382,5.207223315542073
383,4.7094750473271585
384,4.133821105848037
385,3.608548061522575
386,3.1105314596196685
387,2.724010484852816
388,2.4293916524300108
389,2.0452295703313728
