,May
0,3.7664641130907515
1,4.703001817846598
2,5.804406965040015
3,7.011409874374735
4,8.213857303314489
5,9.266436723870076
6,9.768248020831612
7,10.126866424726455
8,10.299290242428413
9,10.473963376402345
10,10.879748817490993
11,11.413030177727466
12,11.357803980794024
13,11.047259359764414
14,10.505031215364122
15,9.484849275252934
16,7.948567059217805
17,6.580735189764631
18,5.701169051012377
19,5.392435130418415
20,5.519197490301392
21,6.042241908649907
22,4.673539616080369
23,4.677023140938822
24,5.15631447390099
25,6.443069338749487
26,7.036701679840314
27,6.231053638848233
28,6.77323165479065
29,9.97148590893927
30,12.667888701235409
31,14.032335553088654
32,14.348327200223105
33,14.393940232132394
34,13.903844768462562
35,14.476972783623822
36,14.843440668748512
37,15.734498829579264
38,15.875523797523805
39,15.333021301247337
40,14.30651953156028
41,12.261582271337547
42,12.070570508848157
43,11.314839470926985
44,11.253445426497166
45,10.709659046797091
46,7.22685006688635
47,7.8158854287370945
48,6.55419858498638
49,6.057485519113786
50,5.577123867792752
51,4.901861079650026
52,3.439639666051123
53,1.3547589194857228
54,0.6450631775312995
55,2.449344324552355
56,3.793111980088534
57,4.631634808579309
58,6.70328853890574
59,6.511015908709715
60,6.807912440040393
61,6.4619810173216665
62,6.04814208595208
63,4.893553626829712
64,4.591673876267938
65,3.4094806931109742
66,2.180060718981029
67,1.4022379773525089
68,1.4055552771110416
69,2.904140698314155
70,3.590316923466363
71,5.149195954491522
72,4.715433991077666
73,4.2180641147072055
74,5.202997714166141
75,4.922179718427305
76,4.736352255696333
77,5.616697836082517
78,6.6699224847204475
79,8.045394440183458
80,9.583696941732722
81,11.257585813467161
82,13.274235466998967
83,13.684767307653651
84,13.398263093481045
85,13.820780749402596
86,13.770009064551797
87,13.702741713980403
88,13.903512670448597
89,13.55866888581353
90,11.662026585986299
91,10.273880373681328
92,8.762919582336101
93,8.256588234743765
94,7.5626025952114135
95,7.3314177585452205
96,7.084032948984728
97,6.577943905294827
98,5.8854243609995525
99,5.426744124783622
100,4.8254753157755035
101,3.6016289772457126
102,2.784946851062988
103,3.3329768496012346
104,4.758795005164966
105,6.277762089185695
106,6.432801894655144
107,6.760944271799892
108,6.729433704753747
109,6.170828001313644
110,6.242770976915404
111,7.236087723421054
112,7.543455393878565
113,7.845539180274511
114,8.87827314840772
115,9.874042022769746
116,9.635113187952951
117,8.989976007059994
118,7.3674352404588
119,6.688400771622849
120,6.214606781807371
121,5.472692960659089
122,4.72924912598697
123,4.20363843749404
124,3.0612441712569383
125,2.508213145772052
126,3.0784689948144055
127,4.296229822620947
128,5.526552774835627
129,6.502065025453821
130,7.950013791995036
131,8.447141908106618
132,8.618482088488623
133,8.421431833655069
134,8.319777529332377
135,8.297716530101562
136,7.838153015046036
137,7.241154809835877
138,6.780730049246884
139,6.448283322610489
140,6.333782683718868
141,6.504001608215213
142,6.68964164172982
143,6.734561014867023
144,6.799109602442764
145,7.24106508143451
146,7.664458923317768
147,7.878106443219325
148,8.289481179328249
149,8.563205232703158
150,8.747947538931292
151,8.990829576588446
152,9.36947089868263
153,9.766940659944021
154,8.691995434428474
155,9.225804650951147
156,10.28842518778372
157,11.017869558970409
158,11.37497764529093
159,11.361528147354084
160,10.797268123043109
161,10.341552077649235
162,10.934958070969486
163,12.090581033899273
164,12.249441404844497
165,13.013156194098206
166,13.474499820706084
167,14.249140031332484
168,14.248542628154524
169,14.21843259803599
170,14.541207713151739
171,15.16208705150924
172,15.7954424960264
173,15.805602827003723
174,15.127408664001559
175,13.53809337613978
176,11.64684259568439
177,9.24151203031584
178,6.90068084220175
179,4.528591321028701
180,3.3100068289654527
181,4.270486550448775
182,6.568984950975697
183,7.029590297186099
184,7.449577609378389
185,7.21993702295075
186,6.756629999413227
187,6.854324693998395
188,7.128790816117023
189,6.962745559505944
190,5.985084412074174
191,6.201517647136842
192,5.490723192697745
193,5.124856221481607
194,4.597040986929236
195,4.130352862096062
196,4.57657278457131
197,5.582858168977508
198,6.551884740761603
199,6.978383366480887
200,7.621871388419562
201,7.671761341438933
202,6.433772993884121
203,5.312182447149313
204,4.755997869306284
205,5.823078339082181
206,6.4569257425615385
207,7.321310273053236
208,7.883593924471227
209,7.445845718837376
210,6.902824145047871
211,6.3414772211920605
212,5.747886363109821
213,6.096933841350758
214,6.4197693930895205
215,7.237163091364397
216,7.519070938976652
217,6.9285421252573185
218,6.0852987097191
219,5.9992292180220606
220,6.978327590845506
221,8.119942557999032
222,8.790513970007625
223,8.865661244839524
224,8.381319842217897
225,7.560677514603786
226,6.908789007642976
227,7.699306914891071
228,7.562825493766456
229,7.9311313113008834
230,8.649727928332492
231,8.839115237832317
232,8.985694554313778
233,9.317606823314234
234,9.355227882861115
235,9.457842948752631
236,9.20272691172321
237,9.288374091816188
238,9.315970832783616
239,9.511047514395752
240,9.138137983788233
241,8.783936045112192
242,8.3553743048282
243,7.91533600359156
244,7.442385157826152
245,7.944821549385387
246,8.406256892342853
247,9.159270603374422
248,10.414808490764026
249,12.548459540188881
250,12.116697871075006
251,14.140736158045467
252,15.4604078513462
253,14.937017180212969
254,14.551274607929948
255,14.24835590629321
256,14.590334261189398
257,16.321103301441216
258,18.201362347763855
259,18.876761476620437
260,19.40226288636882
261,18.934078675829024
262,18.49806892748726
263,17.65598617593142
264,17.255981290038225
265,16.54339454333001
266,15.626636289339206
267,15.463822945116691
268,14.814153554881262
269,13.763871131954652
270,13.279149965146482
271,13.284569207041223
272,13.17331129128187
273,13.225770822363724
274,12.538646957062069
275,13.055553620565597
276,13.355394418331645
277,12.849081572885854
278,12.05768804598626
279,11.650855898095783
280,11.3631000312931
281,11.304793883710627
282,10.108431852693233
283,8.226536687204153
284,6.804869626946124
285,6.162429479574878
286,5.455011580571084
287,5.8461306487015925
288,7.847964416487834
289,9.369692509326777
290,10.657524999406078
291,11.683953861185321
292,12.825385848685524
293,13.204067575918033
294,13.510611601943792
295,14.154592966218193
296,14.060099935815517
297,13.827923274078836
298,13.15785094473554
299,13.555449065326576
300,13.546974268614358
301,12.612523692423515
302,12.039253883261905
303,12.373283715597138
304,10.936631318307985
305,9.623331357482515
306,10.142647105211184
307,11.051287229427261
308,10.250403847673143
309,8.625511262911203
310,7.775583048105193
311,6.320053699329771
312,5.656161868053184
313,5.9377976739517955
314,6.955592355268088
315,7.378986372404197
316,7.1711391277878915
317,8.660102817880535
318,8.479551609002964
319,7.04175459646038
320,5.633342565391611
321,6.31938874164135
322,5.055700371314778
323,5.309950479712697
324,4.482583169870432
325,1.3406150278481435
326,0.8497152821575183
327,0.9042310431447247
328,0.7638921539493855
329,0.7354125364749862
330,0.2145302766740425
331,1.1681204125848665
332,1.7178815693070015
333,3.3866066745180663
334,5.218031898899892
335,6.827311530311882
336,6.939168186314102
337,6.433237708150514
338,5.519390004582749
339,6.4488896716360635
340,5.751561674734393
341,3.495597564744603
342,0.7954014447760237
343,3.6084389750157944
344,6.13076605470698
345,5.955382125236655
346,4.132335253010853
347,4.6109200656753035
348,5.718497414619808
349,7.582214842051332
350,9.908334650908046
351,10.937453466003118
352,10.55478283855776
353,10.04279080691955
354,9.799661985835387
355,9.18427523067211
356,8.562310631587918
357,8.28205446896119
358,6.670104548921575
359,6.199984446069654
360,6.72604270435459
361,7.5760870290389315
362,7.303049983894372
363,7.326078016578472
364,7.665540098472104
365,9.205666928803591
366,11.08103446489087
367,11.854345404348491
368,12.201280032984876
369,12.270300132000594
370,10.902924961722022
371,10.409847836528455
372,9.409810674857328
373,7.675966082106237
374,6.908708942755386
375,7.810665742870052
376,8.03552018122076
377,7.256307103346626
378,6.475086054840643
379,5.40203022248195
380,4.012757674798505
381,2.8209152338987797
382,3.1789780910722154
383,2.399459882894461
384,1.8076706830373066
385,1.6303492626343923
386,1.5780144975556143
387,1.525411583093164
388,0.9688920125288863
389,1.2298114133950588
390,2.023556215578743
391,2.796929462459336
392,3.690939742919399
393,4.328907621441007
394,3.29798456414355
395,3.3831702607386682
396,3.637099897167213
397,3.8274428371507274
398,4.37361329343692
399,4.683749655187856
400,4.6001318091784
401,3.4155061257569734
402,1.7544783088051419
403,1.1337875790450802
404,1.4680924222432057
405,1.7313976589809021
406,1.7546675736636936
407,1.9023402298694005
408,2.181605679869427
409,2.178732013793938
410,1.7692636801368793
411,1.4281560000980906
412,1.3841759346672673
413,1.389313491378198
414,1.7662201174104801
415,2.3169210953972974
416,2.943779729285425
417,3.277420660686654
418,1.3405209141402636
419,1.3934400665599838
420,2.1067071298370825
421,3.270064320144198
422,3.7324141867087675
423,3.493903815594217
424,3.164839493750871
425,2.956573404062812
426,2.682969511852532
427,2.928562086673784
428,2.8964318897080212
429,2.1451258544624823
430,1.1916905747418072
431,0.7349283559087799
432,0.7864198688884786
433,2.05741333916733
434,3.3438080150551817
435,4.2095163180052815
436,5.206650927720565
437,4.565511515168231
438,3.918428565479969
439,3.0093030556825218
440,4.167524947683532
441,5.482828566115874
442,5.093699081573103
443,4.107809813051474
444,4.029109625618892
445,5.563645788201693
446,6.872148291342757
447,7.048688040477768
448,5.708617004521209
449,3.879952031690878
450,2.4985652872087747
451,3.069167634933144
452,4.241445995613165
453,5.664550503738063
454,4.484480431159853
455,4.682788122863255
456,6.512425944579223
457,7.86724189617246
458,7.932181119772361
459,6.475262504287598
460,5.915803950748849
461,4.763646116142007
462,3.39711821124538
463,4.7773989570895425
464,7.472582091712668
465,8.96887745712441
466,8.630604977612467
467,8.576663424451965
468,9.274189475007317
469,9.222508501154474
470,8.420750274283963
471,7.990936347457283
472,8.493701615126664
473,9.180113200582324
474,8.599487348243448
475,7.772439183669159
476,6.79917754481349
477,4.92631794078342
478,2.260525819680638
479,0.7784359343749926
480,4.190394459681204
481,5.766485442117189
482,6.201230230874097
483,6.310952846366775
484,6.343856984687612
485,7.082821310926075
486,8.08489749389158
487,7.756093588069588
488,5.589683287127624
489,2.3776407539732025
490,6.005376620886548
491,7.4827198311033625
492,8.542406274231052
493,8.799812758284636
494,8.01738561959422
495,7.024707420564435
496,6.040584345219521
497,4.961627126656034
498,3.540422810602348
499,2.0267190652239826
500,1.2046930196531624
501,0.972261109395378
502,1.6751396964081657
503,1.4327739895165805
504,0.8024388411434317
505,0.751434814100031
506,1.778400138397707
507,2.5373341253096253
508,2.9675400665220724
509,3.198387622687846
510,2.7372711633327658
511,2.007613356974617
512,2.223438700043168
513,3.4104379603026924
514,4.631997197331709
515,5.848236686688201
516,6.946216355405164
517,7.5880096441225495
518,7.446859989975407
519,6.979924433173921
520,6.2590434338867835
521,5.7903224439385275
522,5.734027737053165
523,5.675757045461143
524,5.645861874147123
525,5.838363778169387
526,6.183015638808424
527,6.360135424010811
528,6.104819223848524
529,5.515532297249718
530,5.096005321897283
531,4.559671977712346
532,3.9237094545392583
533,3.4325973235833414
534,3.230122019383867
535,3.303825828349989
536,3.351261621501442
537,3.8153664744796063
538,2.069239436901987
539,1.7598228299121008
540,2.4223144323531143
541,3.0957911809263776
542,3.6184454773329624
543,4.04582694309233
544,4.0281939011177865
545,4.010887795030537
546,4.43516585598378
547,4.910284666241358
548,5.423441771739055
549,6.281059018488763
550,6.28700965914122
551,6.963250257065341
552,7.469741724107427
553,8.159547634624928
554,9.173007825219193
555,10.199263003472375
556,10.791063823293118
557,11.441704157645988
558,12.05914592271729
559,12.68584917855582
560,13.0036319783231
561,13.096582563653055
562,12.75127748710933
563,13.110260711211668
564,12.541408713752316
565,11.949976866361185
566,11.694468250878959
567,11.820871980554202
568,11.420775141009809
569,10.59312576944028
570,10.192019379784444
571,10.246876855163222
572,10.550488936714158
573,9.9155653712355
574,8.099473586252024
575,7.7606110484844075
576,7.228964773977157
577,6.987959579988879
578,8.407210349525982
579,9.514036260510142
580,10.535067756899327
581,10.69921031102887
582,10.949978988651974
583,11.700087646121341
584,12.992717968093384
585,13.63757461024319
586,9.098176115504584
587,10.636331176300502
588,12.854548038140003
589,14.057705743364663
590,14.118372028319223
591,14.302576715504701
592,14.64498578194819
593,14.986528784120942
594,16.156966030463625
595,17.749417401328902
596,18.266759659574944
597,17.121582179330208
598,16.483558556847683
599,13.008596024650792
600,10.711974257102318
601,9.534659433285446
602,8.99481885180502
603,9.379127853167617
604,10.075559427115222
605,11.235968943750086
606,12.409635721111364
607,12.995411573291944
608,13.334696677863745
609,13.06195385616901
610,11.063074383998934
611,9.216387218985986
612,8.178344221438152
613,7.420338811899663
614,5.722853333995367
615,5.065383409667383
616,7.04391537536577
617,10.057021426766154
618,11.31395020381386
619,11.530573707807058
620,11.533971289119172
621,11.6456845196539
622,11.468956473357991
623,11.530691457801245
624,12.107807716364645
625,12.697411283985634
626,13.12049788305658
627,13.23424218646963
628,13.622197083736731
629,14.199026860813609
630,14.541204421086297
631,14.889809964605412
632,15.390881462941177
633,15.767474130888687
634,14.373370384882454
635,14.31287793586511
636,14.200314568975653
637,14.394582929977247
638,14.429560592489214
639,14.374148886152858
640,13.828753982176194
641,13.364808020740435
642,13.413785638318338
643,13.639918697604251
644,13.626654893994697
645,13.457536121700564
646,13.011249094064857
647,13.45401134793591
648,13.40563535774488
649,13.298714194229268
650,12.767865278271783
651,12.971192099368754
652,13.747236552801871
653,13.411898882234244
654,13.349836761411968
655,13.269363142069723
656,12.477080421028637
657,11.14712761085663
658,8.752072775643773
659,7.929486409793531
660,8.604448014085337
661,9.499374841521558
662,9.539636317928869
663,9.017069117259059
664,8.367227955984243
665,7.496185227084282
666,6.639312308603392
667,6.109394807485165
668,5.826110138837796
669,5.790462752613723
670,6.054555944730639
671,5.433705120263551
672,4.592241428036903
673,4.337874840987451
674,5.559214623769946
675,7.373943931470798
676,8.342925912120588
677,8.926003166674555
678,9.308797203906757
679,9.893044120690636
680,10.541297773963208
681,10.74818413738019
682,9.624586783895273
683,8.961081583232643
684,9.129231299986388
685,9.568673194459324
686,9.17694163454944
687,8.591395450966704
688,8.781126409641336
689,9.789926535710213
690,10.371718197521862
691,10.435243552822087
692,10.166358275417215
693,9.956783401024454
694,9.555138871833698
695,9.538639471471248
696,9.670998644101873
697,9.98472488460654
698,9.85205763778189
699,9.934339315375025
700,10.864150353420293
701,11.404694329499527
702,11.00785152346836
703,10.508185669232905
704,10.260510762831556
705,10.116595055570416
706,8.973493404857676
707,9.02597781127407
708,9.292009005227046
709,9.402568719916273
710,9.42004537966855
711,9.588001091745657
712,9.444667423275906
713,8.888019906005557
714,8.780851701708498
715,9.542680144443874
716,9.971830243321042
717,9.612180536501311
718,7.717744944231586
719,6.035453360730998
720,5.053410398296685
721,4.681738207698681
722,4.804613000283828
723,5.360039856739186
724,6.141014183914988
725,7.309959921500603
726,8.723766299319331
727,9.857099473616518
728,10.60767121777446
729,10.638881220788958
730,10.609979023658793
731,10.530638157715684
732,10.74411437226371
733,10.913130713954217
734,10.614225912570136
735,10.473217502172087
736,10.360153721691223
737,10.54520037198012
738,10.33742620442472
739,10.059864753500337
740,9.897588841195965
741,9.586444139298372
742,7.4856385427172984
743,7.432510103248891
744,2.0497126499550737
745,2.100962340815529
746,2.443565977301275
747,2.5570183518840657
748,2.643548246950199
749,2.580807516249358
750,2.2506625497173003
751,2.088337577316856
752,1.8489521749568296
753,1.7215387638608444
754,0.40940966629148334
755,0.793144606845121
756,1.4936427777933918
757,2.62127270568449
758,3.8363563505931726
759,4.6622838743567
760,4.510713431827327
761,3.9408348543295135
762,3.450753023475377
763,3.3466887000211254
764,3.1077066564809708
765,2.527535667619774
766,1.867582906431445
767,1.507138123568647
768,2.8193080660861147
769,3.961801884252448
770,4.145686988847328
771,4.427299734390345
772,5.487218554731925
773,6.373954619702718
774,6.535871137239578
775,6.085803264606025
776,5.8930202487510845
777,6.109119553515841
778,6.281382952256839
779,6.103146346791075
780,5.60461716701547
781,4.42334640862411
782,3.7370907292830693
783,4.170292587396808
784,4.609007991770736
785,4.804268032318236
786,5.184041608149549
787,6.331851142610999
788,5.695338332144724
789,5.869861688151505
790,4.065589020326614
791,5.69322770261213
792,8.544144888292568
793,9.984442133588601
794,10.868364881534902
795,11.529622583900046
796,11.961653940082797
797,13.169090178768238
798,14.132670809754572
799,14.22089527415181
800,14.250176414297655
801,13.907621668034391
802,11.557326797497426
803,11.586687211635423
804,11.152523157961173
805,10.522697941090675
806,9.901684616740596
807,9.064157863198181
808,7.649154612095
809,5.976174615787409
810,5.010636706800119
811,5.200462962854531
812,6.119984605692245
813,6.697943067604026
814,5.566563251303798
815,6.164933815337148
816,6.630225159758186
817,6.7988110094864425
818,6.894583640064115
819,6.8466785639923415
820,6.384535952832499
821,6.711040535021415
822,6.739176715708185
823,5.737534876720967
824,5.926359417660309
825,8.204628533807337
826,8.69874965322164
827,8.756380998701388
828,7.89049039947297
829,6.85409009743335
830,5.968743070612148
831,5.455054368916282
832,4.782280892552661
833,4.195788709856338
834,4.638647478573621
835,5.612121700993646
836,6.022663099896644
837,5.6811706632723915
838,5.180560045539842
839,4.339770378853258
840,3.6911557303327083
841,3.189141629524545
842,2.7562638353638715
843,2.7731386700713303
844,3.7251342042188043
845,5.0781076584774425
846,6.660275355755461
847,8.282057976131421
848,9.11794584982562
849,9.769347064995378
850,10.591038553846593
851,10.451571867425399
852,10.153139679101626
853,9.795865595095494
854,9.351750009210718
855,8.765599193344896
856,8.366205642001345
857,7.560830978001504
858,6.2563567594317515
859,5.025552081501233
860,3.86120179720049
861,3.3491263099288626
862,3.371281436977752
863,3.787494387025989
864,4.19017894436449
865,4.662246065362954
866,5.407247951381728
867,6.444003712534619
868,7.461076943494529
869,7.262097716678243
870,7.191102028175074
871,7.279662014517085
872,7.550423658412098
873,7.332557370438312
874,6.577886381850874
875,6.927333000215647
876,7.885849341618241
877,9.353076675999029
878,9.212655613832803
879,9.02656006931491
880,8.480134314475912
881,7.846162096892576
882,6.552232038816235
883,5.224440427857176
884,3.8620103746999748
885,2.6568233402956998
886,1.5585625987654517
887,2.7873818135807014
888,4.260948854759505
889,4.871201982962094
890,4.7471116142730505
891,4.912259082907629
892,5.508609487630406
893,6.25893370902182
894,6.753433760154862
895,7.102934794911673
896,7.269951916138676
897,7.716745857808946
898,7.662143510247567
899,8.03813371300872
900,9.037497646486738
901,8.687402980067782
902,7.976587237790777
903,7.373282536493118
904,5.875881878681058
905,5.6302762085492395
906,4.946080581537126
907,3.8884083054207927
908,3.79385684198975
909,2.5045888972649366
910,3.621564521424385
911,3.5871347203396247
912,2.7097678223567305
913,1.8871315939458373
914,1.3494165620934837
915,1.3776974055940718
916,1.9972814016659117
917,2.0508403536125543
918,2.333496475921276
919,2.7537453790006565
920,3.240953413145957
921,3.4628082207447557
922,3.1137791468766154
923,3.87223527853906
924,4.313222536699759
925,4.890858256712088
926,4.607276939733201
927,4.1363904570902825
928,3.1486758169977147
929,3.070626910666919
930,5.298018281797936
931,7.859067975089151
932,7.782193927382375
933,6.018876566508267
934,4.244529973835417
935,2.537517044490311
936,1.3061560423739131
937,1.6645756831115723
938,1.3953290192162293
939,1.2977747604009404
940,1.745541880960511
941,2.9802508713618154
942,3.2873993208019394
943,2.917857781952436
944,1.7979805890291454
945,2.4886778092803894
946,3.5393182678154984
947,3.582206741190284
948,5.121982512573631
949,8.480892554774485
950,10.419388352900269
951,10.147879655042711
952,9.108520783212295
953,8.187978864877808
954,7.316073942823537
955,6.810414836356541
956,6.986579862260197
957,7.023081042202108
958,7.2571701848290004
959,6.667196348473729
960,6.273519829320921
961,5.8641727409378195
962,5.15954083154633
963,5.243320990275965
964,5.734327476508778
965,6.26140934622062
966,6.9816261284396965
967,8.238360073852451
968,9.228986999298227
969,9.731012328258513
970,8.017963731812003
971,7.620409996359864
972,7.474276144685696
973,7.431464496229216
974,7.723844124266375
975,7.994511816853602
976,7.505865038508605
977,7.169811343311407
978,7.309335383903445
979,7.239312705554454
980,7.033940770375938
981,7.5365550840237665
982,7.269819134555852
983,7.22811769632964
984,6.8246811053250624
985,6.120522282661932
986,5.861443020841875
987,5.8327073978314345
988,6.4527228653881625
989,7.59904217026094
990,9.109878460257093
991,10.218992264999594
992,10.849441988508621
993,10.580843957366133
994,7.3719555845568445
995,7.343740886270174
996,12.482848351362657
997,17.77190707813789
998,18.54449174108354
999,20.09093261305924
1000,20.677585741378564
1001,20.894510660261133
1002,21.103913332074644
1003,20.36919308679933
1004,17.376450695421536
1005,16.03371334771559
1006,14.352128630202225
1007,14.247299768602199
1008,14.047480510972504
1009,13.449972636749308
1010,13.105676031285572
1011,12.806948115298272
1012,11.788199252466304
1013,12.49066051434833
1014,13.32916220389167
1015,14.786145141770382
1016,16.12227673891434
1017,16.687283479195216
1018,16.524217489468523
1019,16.99582212476364
1020,16.79315856372802
1021,17.418537322601104
1022,17.945033448584955
1023,18.024721228044243
1024,17.960183184909273
1025,18.766022936452675
1026,18.92554705753931
1027,18.0238102003804
1028,16.86339830346958
1029,16.278234372211113
1030,14.911143203992019
1031,16.720473373803937
1032,17.941520250925628
1033,18.45159050539867
1034,18.840280969841544
1035,19.055302179484052
1036,18.950977550454596
1037,18.847182745866814
1038,19.21401372719926
1039,19.445543958557817
1040,18.891317960291545
1041,18.28057861888633
1042,16.726894375578606
1043,16.108387282104317
1044,15.519801934178785
1045,15.476692540246345
1046,15.443751230786148
1047,14.902361064482227
1048,14.810356102886898
1049,14.422343932655245
1050,14.152085339103838
1051,13.640159408189355
1052,13.739770242106175
1053,13.925420264738822
1054,12.489958742580553
1055,14.93984570166855
1056,16.82756813203117
1057,16.294490609386944
1058,15.180614391484763
1059,15.402175601270542
1060,15.595147944169403
1061,15.676604425984468
1062,15.527118444432878
1063,15.260175235458505
1064,14.884622623534023
1065,14.999145568284003
1066,14.645956731561952
1067,14.372480519329141
1068,13.597189521745184
1069,13.024373596920697
1070,13.071006052900875
1071,13.781505861345758
1072,14.075474643452303
1073,14.030654813886327
1074,13.777831041805495
1075,13.178504828782419
1076,12.378721598782933
1077,11.772553342451618
1078,10.185094476092742
1079,10.38729990979022
1080,9.731528277902614
1081,9.2748893142142
1082,8.435809515984797
1083,6.815212576094957
1084,4.601624275196524
1085,3.8737033336970113
1086,3.8476177623792465
1087,3.812721871923026
1088,3.7326901277965687
1089,3.669218522098394
1090,1.4306728723912805
1091,1.3466893709298948
1092,2.39463226565702
1093,4.510115043254512
1094,6.453655946539977
1095,6.673645769325392
1096,5.522978282658367
1097,5.550926170991785
1098,6.581476598582887
1099,7.458440839779689
1100,8.344807643433152
1101,9.636566844783456
1102,10.514363607210912
1103,10.67566252430183
1104,10.761865250820607
1105,9.903168448661036
1106,8.806645796862048
1107,7.408085317324042
1108,6.145019878578183
1109,4.923865323382917
1110,3.712476255498763
1111,3.2634203008010285
1112,3.9507996425225276
1113,4.539936321815601
1114,5.742058054500708
1115,6.498984573777139
1116,7.291215114467878
1117,8.000972866440831
1118,8.4971904343506
1119,8.489017417728792
1120,7.694900032714477
1121,6.419612117901547
1122,5.302415733689494
1123,4.436924550976955
1124,3.8618841653066744
1125,3.5686055950825155
1126,3.4971879996827577
1127,2.9591021398906654
1128,1.8593933308098407
1129,1.6111112570901627
1130,2.1294776111438094
1131,2.6307525385293538
1132,3.0496921819382212
1133,3.560447713559728
1134,4.462741737925866
1135,5.1083542248372895
1136,5.355860952323449
1137,5.248385888111598
1138,4.938345132386139
1139,5.022628344467435
1140,5.204034764557536
1141,5.162403587305423
1142,5.223077857447996
1143,5.47996203291782
1144,5.676058660780633
1145,6.092042952669968
1146,6.49939492345442
1147,6.257325160047322
1148,6.695035042935865
1149,6.865247361671011
1150,6.952782366640785
1151,7.758580474856095
1152,5.788830007808975
1153,5.22411823334905
1154,5.300215353071246
1155,4.516233915459287
1156,2.3950666027699743
1157,3.2825881436703344
1158,4.443651132493085
1159,5.506780186292863
1160,6.565861293072922
1161,6.793611295877662
