,Sep
0,8.713625105077725
1,9.036248462746274
2,9.389551153716036
3,9.16276571223849
4,8.80913336222663
5,8.769935673739765
6,9.01378393063674
7,9.050101757462045
8,8.773179785504814
9,8.357388736467822
10,8.095241128841167
11,8.621610760715654
12,8.603271533479623
13,8.502200714602315
14,8.37151999878271
15,8.02380424254997
16,7.333277469082764
17,7.079895700121878
18,7.361124147566211
19,7.600091576295705
20,7.175747173286372
21,6.800226277114704
22,6.665755076520878
23,6.534993262324236
24,6.846380738535547
25,7.269873928925185
26,7.294834349054507
27,6.978852591253277
28,6.9160542512998955
29,7.41650964621109
30,7.890120320113707
31,8.410368601576602
32,8.740855882752966
33,8.774216836287913
34,7.993394076628053
35,7.806367290290743
36,7.919871747656479
37,8.66755469276564
38,8.758596710791727
39,8.632853155392699
40,8.377255754927697
41,8.661606663949623
42,9.56970046567041
43,11.720655694057701
44,13.41399670163275
45,13.273282824043964
46,11.970235531026223
47,12.16039027405055
48,12.099939861957463
49,11.90193326600795
50,11.953058348533542
51,12.48149247207297
52,13.231147140916717
53,14.298699974435685
54,14.975312852989576
55,14.523019231624515
56,13.824782739072335
57,13.099909221879594
58,11.555963718801546
59,10.0240057398553
60,10.841388721159326
61,12.05305173666737
62,12.058235479930033
63,12.587607899428608
64,12.749431609293808
65,11.61465679124173
66,10.816255058238413
67,9.907052088285402
68,8.882162030147157
69,7.900014390677267
70,6.6337718426279
71,6.262050846868374
72,5.721374631236588
73,5.410730132162246
74,5.458911842888324
75,5.66292781774975
76,5.873147346054227
77,6.359676137009138
78,6.9515332612540215
79,7.410330284129779
80,7.713058090937666
81,7.8779716014315095
82,7.653063236012366
83,7.750509492690464
84,7.797326717716448
85,7.583049826179682
86,7.432347444847683
87,7.382790737824914
88,7.116437314073294
89,6.3098225602443545
90,5.152551133086838
91,3.952083844217952
92,3.1375323859813102
93,2.788240605343528
94,2.8894960571280697
95,2.779372569768772
96,2.232004511259301
97,1.031404980959797
98,1.354641794319315
99,2.093117149853115
100,2.3442937230869325
101,2.4061335241844626
102,2.1408141868467463
103,2.673092700499706
104,4.065040396688448
105,4.44541534582291
106,4.256232179579395
107,4.290999260261947
108,4.545872821885038
109,4.224435677718796
110,3.757942646644193
111,4.184125529894297
112,4.49693589227361
113,4.304433872329482
114,3.741965584330459
115,3.2672500158015225
116,2.838282611624631
117,3.009279293271827
118,3.214073877024735
119,3.154961301064092
120,5.343344100137296
121,6.161954562945651
122,6.984259460489876
123,7.393780534240897
124,6.252269800530281
125,3.7876776211617056
126,2.7139216681386857
127,3.353765273401345
128,1.511387343878942
129,3.373679885198381
130,1.943120480694283
131,2.7186430884416466
132,3.2301864124185693
133,3.531038260526141
