,Jan
0,4.531422237355729
1,5.558371134655162
2,6.8813167266376265
3,8.494549842566187
4,9.90381445034382
5,10.714216349943804
6,11.5042307036234
7,11.193561227640888
8,11.122370039348377
9,11.246900480320372
10,9.340256142412628
11,9.21616053574315
12,9.283551724955391
13,10.324792053375928
14,11.146037926967207
15,11.414883924423737
16,11.556854038070803
17,11.570794156070571
18,10.751474375905818
19,9.661729356444997
20,9.001411115466865
21,8.76421401879058
22,8.481859856008128
23,8.99958340629814
24,9.173000011358933
25,9.279338872562837
26,8.279661724888117
27,7.77187920954224
28,7.1597133788974325
29,6.445456026701592
30,5.875984562229829
31,5.432156351923589
32,5.436743173910808
33,5.425717391877917
34,5.117836824822755
35,5.007984641151982
36,4.80449302611447
37,4.152408125542745
38,3.902106080089351
39,3.6424696492535187
40,3.3130925430087865
41,3.2469288399328313
42,3.04284105057663
43,3.3490643676198
44,3.7284249320487626
45,4.025319468126603
46,4.216984480472096
47,4.653945828458755
48,4.777510243354118
49,5.120959859763
50,5.102913329276749
51,5.281123672061723
52,5.3109408315777635
53,4.795493783615489
54,4.314438697474478
55,3.8956743118768644
56,3.387953223382483
57,3.0270622683890447
58,2.932279696641397
59,3.2278421292173025
60,3.9662237009798145
61,4.533821323738128
62,5.528260063359819
63,6.615754074404835
64,7.503999090849391
65,8.084054385202089
66,8.709118305836112
67,9.212395689906629
68,9.05283749858007
69,9.084488178698793
70,8.992005791571936
71,9.0618474215105
72,8.36158507278714
73,7.45557145345605
74,6.775847643033352
75,6.738465239152054
76,7.047179080692782
77,8.1694807452461
78,9.60166681000336
79,10.86760010302657
80,12.130448955871401
81,12.777445947323773
82,11.70154653050799
83,12.491260914524949
84,12.69116345048664
85,13.048851907678399
86,13.004344159798782
87,12.87747027278227
88,12.532150825166342
89,12.361390579752367
90,12.335841652469778
91,12.05525691037693
92,11.694282212367915
93,11.300965608099832
94,9.533705447337168
95,9.45217249561776
96,9.172718181398158
97,8.464979921190677
98,7.597590016345689
99,6.447082713754374
100,4.904772925506579
101,3.3386697045472227
102,1.4259906667870692
103,1.6764226752456133
104,5.201614241834099
105,8.411174375336659
106,11.011772730972481
107,10.9979348025416
108,10.836700618445823
109,11.132703693918849
110,11.434465948882094
111,11.536726697616299
112,11.60769486215641
113,11.730455275638615
114,11.69353378725033
115,11.303518072693208
116,10.776565786479566
117,10.630345317559875
118,11.821440467730604
119,11.545529144248373
120,10.526404442757125
121,9.191992330204236
122,8.004174347410869
123,7.0736408171008955
124,6.154916288285253
125,5.3978228983908245
126,5.04068834212839
127,4.727683559635016
128,4.400191801820146
129,4.107257488417568
130,5.436188601478141
131,4.9202704986748
132,3.7865183764200205
133,2.5040554272386952
134,1.3588828541715352
135,0.5061095153598136
136,1.1619171880879846
137,2.4230821522708434
138,2.8908158638986805
139,2.8859850995724767
140,3.3520535935436224
141,3.8066889654713245
142,4.422925748971673
143,4.234456092909945
144,4.212624487443049
145,4.296949366324209
146,4.517863120219686
147,5.097098812446847
148,5.745584024914092
149,5.818272495410749
150,6.34842374023362
151,6.3599396173774085
152,6.508435280916278
153,6.114885475094861
154,6.167396073809372
155,5.548971766844299
156,4.721003257984769
157,4.389200747957039
158,4.113486715858313
159,4.073096272169461
160,3.7826984429425963
161,3.716096714814744
162,3.597705389738563
163,3.9858649263048025
164,4.513135413502337
165,4.527715733540772
166,3.547220764315135
167,3.333127941277157
168,3.7940139921777645
169,4.8508289653530205
170,5.772006191426619
171,7.020230018020169
172,7.847643143849707
173,7.988072159969009
174,8.009843435457626
175,8.153914334153589
176,8.964695361065846
177,9.598980341658852
178,10.570461423772374
179,11.333885848572562
180,11.799637420236364
181,12.449173920243977
182,12.465678658204903
183,13.426201567250724
184,15.498688654521443
185,16.072697713926157
186,16.21704740738312
187,16.548107362809944
188,16.679282331781618
189,16.339411159813665
190,14.885777264596882
191,14.814525713251054
192,14.830770381951686
193,14.375049410045072
194,14.074795642464169
195,13.360035256850285
196,12.733602808306667
197,12.209698972984603
198,11.983665915804595
199,11.88112282010254
200,11.846289137896454
201,11.857502500794974
202,12.818391235444636
203,12.73658723141107
204,12.353470432297838
205,11.949035083681354
206,11.36157329115862
207,11.026405687843472
208,11.117254252920423
209,11.602623418378556
210,12.749670028013586
211,14.045482250438567
212,14.718389191121583
213,14.414954161386614
214,12.60742852792285
215,11.294235730442571
216,9.84027041214106
217,8.226542434215645
218,6.547378039274698
219,5.747956942401048
220,5.6931158414133956
221,6.108647496817202
222,5.9216297418291255
223,5.958014294836743
224,5.963696018763767
