,Aug
0,10.155189861106301
1,10.696750806156501
2,9.794752805976445
3,8.318963914619689
4,7.180927236570136
5,6.926830201848211
6,6.478213145657795
7,6.364290043749552
8,7.3981911235210385
9,9.138931519490951
10,7.027966059697242
11,8.689141087937848
12,10.144591583379448
13,11.115412733364572
14,11.889132431211923
15,12.439252018877017
16,13.174222094703687
17,13.8021156832455
18,13.578930326117536
19,13.735820375926496
20,14.010619795899904
21,14.24171982371328
22,11.771593306010281
23,12.600345217829247
24,12.797284808153224
25,13.186061707507823
26,14.293052277515185
27,14.362747053238161
28,13.713975690572527
29,13.561898645779491
30,12.538206864779669
31,12.334910099235818
32,14.028983235401963
33,15.368305951103958
34,13.620470105179326
35,15.008261539740438
36,16.58348138480669
37,16.662334561580842
38,17.014739421394626
39,17.475851001367396
40,17.687288955141884
41,18.160460319626974
42,18.485978268034167
43,18.990469109176427
44,19.826342568277926
45,20.650902987631806
46,18.754244546623692
47,17.227256118296758
48,16.666005657485083
49,16.39381654741378
50,15.976994438736543
51,15.845703645380025
52,15.83047169500477
53,15.328951188506554
54,14.927649287517607
55,14.967233263036738
56,14.998684832400933
57,14.997297301395236
58,13.802460973691295
59,13.849266763233738
60,14.01319483635841
61,14.590043877811215
62,15.043077319194687
63,15.55801333518715
64,15.74227098605004
65,15.803955435088094
66,16.506571414734736
67,16.385336718146036
68,16.058961216689816
69,16.204569820308336
70,14.039751374725336
71,13.790928385887074
72,13.679649340777912
73,14.322228286477701
74,14.740553220504445
75,14.421068923077017
76,14.597792552315905
77,15.725129933672916
78,15.656699629587655
79,15.94712293285982
80,15.53286834070617
81,15.031826895996033
82,13.66639191758295
83,14.031297403701362
84,14.362861923882418
85,14.645531818368038
86,15.134125478651837
87,15.095581828683288
88,14.996531220487725
89,14.911366058967054
90,14.049388741063876
91,13.163911973866838
92,12.222811139066982
93,10.65366984553161
94,8.83370065153504
95,7.82751891532215
96,7.413567646385736
97,7.53452712896782
98,7.874749485911468
99,8.110190810516581
100,8.695472207065354
101,9.155879735765032
102,9.429391711275594
103,9.479065029332384
104,9.603593096180763
105,9.736689150924061
106,8.94372914783529
107,8.55341188037921
108,9.065276118212592
109,9.59857198511322
110,10.334865611807064
111,11.212068763552312
112,11.754802730859703
113,11.438189943368908
114,10.85747925065004
115,10.381346951760989
116,9.627985300122695
117,8.75706630613472
118,8.190580533147054
119,7.591242386546392
120,7.465031366624817
121,7.477489391842667
122,8.103895785904006
123,8.932829487759943
124,9.575369077065755
125,9.918741593048292
126,10.001868452042157
127,10.01762833505471
128,10.239397686592767
129,9.839772964856467
130,9.263891603988492
131,8.707533214915728
132,8.453935706766401
133,8.285530950857405
134,8.45107015303032
135,8.703264060415604
136,9.127996567232756
137,9.003038096161003
138,8.536554074170937
139,8.155001706583066
140,7.739932056562532
141,7.249778260175506
142,6.1217683389567314
143,4.804097103547633
144,3.422037916489413
145,2.2006032191493143
146,3.1995351719147784
147,4.907520371504731
148,6.547742139353696
149,7.799444817986309
150,8.61578188040187
151,9.073495727776672
152,9.561382144153729
153,9.41651185914918
154,7.876557537617112
155,7.282997612098325
156,7.062153279688911
157,7.167013055574353
158,7.461321511892996
159,8.360647238843873
160,9.74617897849053
161,10.995589068004422
162,11.902378241245497
163,12.470478598274166
164,12.750553011583976
165,12.77292972430979
166,13.396682448137968
167,12.171448343500897
168,12.45815957705345
169,11.992539780652551
170,12.273005249871526
171,12.604357834693465
172,12.048150072922262
173,11.827256606977263
174,11.575284476574481
175,11.308014518510452
176,11.772230172024418
177,12.083938740373135
178,9.79542136183459
179,10.88429274448916
180,11.705866672030906
181,12.436539079075146
182,12.842467993109402
183,13.597332782593812
184,13.052197764503502
185,13.195708208938877
186,13.52115649598799
187,13.713782245081163
188,14.775089058660951
189,15.716943960161128
190,15.93348608653457
191,16.53883528758791
192,18.47847198955056
193,18.048975352578235
194,18.174889803038187
195,18.37222510793814
196,17.30872004211951
197,17.970524922180488
198,18.577853175082122
199,18.26451652925036
200,17.712644739915294
201,18.07893042688113
202,17.469251100007643
203,19.47138896949729
204,20.693786161651875
205,20.544318646345133
206,19.07106847120809
207,18.249500484910254
208,17.04277687997709
209,16.71871755242468
210,16.931585078752303
211,17.215632626291733
212,17.257613445384745
213,17.132770608112583
214,17.17990327491758
215,16.102265257896114
216,15.308474099110494
217,14.219925557322952
218,14.037919320791788
219,13.856625480025688
220,13.62828309030961
221,12.98788503300367
222,12.269685424937787
