,Mar
0,10.160011013736408
1,9.827567409594678
2,9.290453400389854
3,8.528212976259445
4,7.2447014046252765
5,6.45125377090727
6,6.251475845152886
7,5.825602454309179
8,5.886860590747925
9,6.227660957892609
10,6.098284312304232
11,6.824878407267679
12,7.736052695900124
13,7.267150381131685
14,6.412593750730916
15,6.1586471370811635
16,5.3108534384814385
17,4.914656588433632
18,5.206223482593276
19,5.478054104120157
20,5.998456217333347
21,7.21746828196065
22,11.182992883556947
23,12.234533775346911
24,12.05843193947688
25,12.667747799282687
26,12.759591407367418
27,13.115801158495595
28,13.911397273235572
29,14.105669757170734
30,14.68467911573774
31,14.477209846182351
32,14.089208090208182
33,13.518868714084464
34,12.12808405095209
35,12.34723370991627
36,12.420007231724162
37,12.083117315115063
38,10.857866572651155
39,9.287138285701587
40,8.498719320985261
41,8.252957028801013
42,8.506909447489162
43,8.80823122652807
44,9.048554555100473
45,9.113987405231507
46,7.757009319191707
47,7.815071777190469
48,7.511941985261006
49,7.079585652036536
50,6.926820517700992
51,6.561599615611854
52,6.359484095428232
53,6.107202522979391
54,6.248801900300903
55,6.384017042533458
56,6.451984378589661
57,6.746942951973489
58,6.797565569359249
59,7.465043048495526
60,7.734337533505066
61,7.965543669651664
62,7.756995624846806
63,7.562130145051915
64,7.543781552787118
65,7.803736603419077
66,7.687850219636124
67,7.527505191582354
68,7.617731018677286
69,7.5019119505395135
70,5.96847687518748
71,5.653533899125559
72,5.225457901304296
73,5.022007221198146
74,5.323565640705911
75,5.411646843124269
76,5.368273695479481
77,4.809976724886988
78,4.484039436482251
79,3.816278851414581
80,2.941508925981034
81,2.8046050948460928
82,3.7575020943743955
83,4.5072840098107365
84,4.962300308941239
85,4.834686643086286
86,5.171110043188095
87,5.028766078361638
88,4.737187810858769
89,4.727590661105697
90,5.766588602919879
91,7.638798047692625
92,10.525400518853196
93,11.651042412957363
94,9.992500967547146
95,9.761295121275362
96,10.760516274209284
97,11.314020791880276
98,11.690429428189677
99,12.22805500566041
100,13.124846520680151
101,13.535966725377975
102,13.38071278073977
