,Jun
104,8.46504178179339
105,8.858323326496432
106,9.705377516090518
107,9.822414488867322
108,9.664230718916947
109,9.122991757857088
110,8.5258373452104
111,8.244811179356047
112,8.312681474230244
113,8.953813436296961
114,10.075948994273888
115,10.72910889889024
116,10.778342411543662
117,10.39868582445888
118,10.667762998055405
119,10.97648020450544
120,11.161497906266135
121,11.315115507014262
122,11.447202271665745
123,11.477801321319717
124,11.027262751079922
125,10.47284363874769
126,10.336325141506808
127,10.968587841428663
128,11.327807092545063
129,10.709041473840827
130,10.227154314990253
131,10.230077260929203
132,9.821926000971784
133,9.452796854583022
134,8.768771967224236
135,8.088087777591115
136,8.176971903000979
137,8.27148624300516
138,7.691239434177829
139,7.074033337954536
140,7.150336680584631
141,7.907190596846088
142,8.765839580007357
143,8.888640526221364
144,9.069234530181946
145,9.060121308254221
146,9.18794314023279
147,9.136408547907813
148,8.898157241099886
149,8.544620192343784
150,8.526696623856758
151,8.744604565559362
152,8.837677789057123
153,8.420829536706309
154,7.114756360497437
155,6.801718960362068
156,6.607810264465536
157,6.650352198612774
158,6.868824027318505
159,6.748709591730798
160,6.607247385394971
161,6.369768438615881
162,5.954060927592325
163,5.930648036403432
164,5.966539315801759
165,5.932366757199515
166,6.204535462387887
167,6.002183898437518
168,5.8133885512994885
169,5.520547356191022
170,5.481831609192736
171,5.363625907714278
172,5.128821166994409
173,5.5509868263140945
174,5.575575760835593
175,5.351751919104447
176,4.983377707234931
177,4.843723394419649
178,4.153049572259115
179,4.000646585281291
180,4.019515611301884
181,3.943614476027211
182,3.9797207010561624
183,3.927755813393252
184,4.1208931052499596
185,4.834377540819456
186,5.371072028767443
187,5.804180038998046
188,6.023316888003938
189,6.368498183172858
190,5.747143296252098
191,6.315540062214616
192,7.090261939702318
193,7.165472580263554
194,6.876429471227751
195,6.595900429093862
196,6.170360606300449
197,6.056348139396457
198,7.0798801440735994
199,7.7870638709116555
200,7.92614716196872
201,7.289298151520696
202,6.154283520672291
203,7.033096223410696
204,7.548906764654268
205,7.497448441713754
206,7.707838294853834
207,8.138547654066526
208,8.286265577432783
209,8.083726224114795
210,8.043459687797425
211,8.385470779584121
212,8.243266663400021
213,8.590776595808792
214,9.399666999871672
215,9.607128774027458
216,9.68481325050856
217,9.163552856142072
218,9.044535193465281
219,8.966825270327238
220,8.548261556917506
221,8.570873680097462
222,9.086984196283607
223,9.371991286813639
224,9.495007281688675
225,9.492622724361118
226,9.102741691186667
227,9.598241682205186
228,9.537776174029569
229,9.284943316989377
230,8.738166879316752
231,8.51731293439578
232,8.208151660343988
233,8.11751518341322
234,8.148961565935489
235,8.219975821574687
236,8.267962575523029
237,8.282152054522204
