,Apr
0,3.275350570678711
1,3.609529495239258
2,3.9621422290802
3,4.226232051849365
4,4.4635090827941895
5,4.68974494934082
6,4.85565185546875
7,4.975325107574463
8,5.070353984832764
9,5.109883785247803
10,5.093914031982422
11,5.217333793640137
12,5.198307991027832
13,5.1137285232543945
14,4.9527506828308105
15,4.7411041259765625
16,4.535569190979004
17,4.359115123748779
18,4.187983989715576
19,3.9964473247528076
20,3.8000802993774414
21,3.606572151184082
22,3.3877294063568115
23,3.197375535964966
24,3.0259487628936768
25,2.865168333053589
26,2.714245557785034
27,2.5669703483581543
28,2.424919605255127
29,2.2884879112243652
30,2.159449577331543
31,2.0321855545043945
32,1.9041332006454468
33,1.7772635221481323
34,1.6644904613494873
35,1.568179965019226
36,1.4850788116455078
37,1.4122298955917358
38,1.3478584289550781
39,1.2917678356170654
40,1.2407045364379883
41,1.1961472034454346
42,1.1567161083221436
43,1.124284029006958
44,1.099245309829712
45,1.08465576171875
46,1.0772624015808105
47,1.0646443367004395
48,1.0373384952545166
49,0.9998788833618164
50,0.9599547386169434
51,0.9227910041809082
52,0.8896689414978027
53,0.8616726398468018
54,0.8405771255493164
55,0.8304235935211182
56,0.8350567817687988
57,0.8551666736602783
58,0.886711597442627
59,0.9236781597137451
60,0.9533500671386719
61,0.9757273197174072
62,0.9841063022613525
63,0.9628136157989502
64,0.9145104885101318
65,0.858518123626709
66,0.8081450462341309
67,0.7725584506988525
68,0.7616162300109863
69,0.7768957614898682
70,0.7756142616271973
71,0.7749242782592773
72,0.7864577770233154
73,0.8317050933837891
74,0.8945977687835693
75,0.9730656147003174
76,0.9867680072784424
77,0.9845006465911865
78,0.9831206798553467
79,1.004019021987915
80,1.043745994567871
81,1.0432531833648682
82,0.9777975082397461
83,0.9235796928405762
84,0.8945977687835693
85,0.8834583759307861
86,0.9619264602661133
87,0.9216079711914062
88,0.8747835159301758
89,0.8330850601196289
90,0.7989771366119385
91,0.7587575912475586
92,0.7091729640960693
93,0.6582081317901611
94,0.606947660446167
95,0.5610103607177734
96,0.5291697978973389
97,0.5182275772094727
98,0.5229592323303223
99,0.5369575023651123
100,0.5625877380371094
101,0.5953154563903809
102,0.6422386169433594
103,0.7108485698699951
104,0.8115952014923096
105,0.925551176071167
106,0.9400420188903809
107,0.9927811622619629
108,1.0648415088653564
109,1.124185562133789
110,1.1534631252288818
111,1.1752488613128662
112,1.1734743118286133
113,1.1478440761566162
114,1.1173834800720215
115,1.0934290885925293
116,1.0820927619934082
117,1.0814027786254883
118,1.0803182125091553
119,1.0951049327850342
120,1.1263542175292969
121,1.1722915172576904
122,1.2321281433105469
123,1.3049771785736084
124,1.3716158866882324
125,1.4348042011260986
126,1.4884305000305176
127,1.5220454931259155
128,1.5416624546051025
129,1.5511260032653809
130,1.5735031366348267
131,1.5814878940582275
132,1.5596036911010742
133,1.5139621496200562
134,1.456688404083252
135,1.3896554708480835
136,1.3312973976135254
137,1.2780654430389404
138,1.2216789722442627
139,1.1672639846801758
140,1.1214253902435303
141,1.0666160583496094
142,0.990710973739624
143,0.9281141757965088
144,0.8712348937988281
145,0.8184957504272461
146,0.7726569175720215
147,0.7587575912475586
148,0.7140030860900879
149,0.6751635074615479
150,0.6386897563934326
151,0.605567455291748
152,0.5765857696533203
153,0.5507583618164062
154,0.5239450931549072
155,0.5055110454559326
156,0.49082303047180176
157,0.4783036708831787
158,0.4699244499206543
159,0.46233391761779785
