,Nov
0,1.377234697341919
1,1.28476881980896
2,1.1896412372589111
3,1.1017096042633057
4,1.0221574306488037
5,0.9555187225341797
6,0.9014980792999268
7,0.8581240177154541
8,0.8254947662353516
9,0.8045961856842041
10,0.792273998260498
11,0.7899081707000732
12,0.792569637298584
13,0.7979915142059326
14,0.8043005466461182
15,0.8110036849975586
16,0.8175098896026611
17,0.8242132663726807
18,0.8277618885040283
19,0.8280577659606934
20,0.8276634216308594
21,0.8286490440368652
22,0.819382905960083
23,0.818988561630249
24,0.8401827812194824
25,0.8791210651397705
26,0.9258468151092529
27,0.991105318069458
28,1.097667932510376
29,1.2340996265411377
30,1.364025354385376
31,1.4708836078643799
32,1.5666027069091797
33,1.674545407295227
34,1.7185111045837402
35,1.7192012071609497
36,1.7398039102554321
37,1.6775027513504028
38,1.5316076278686523
39,1.3536746501922607
40,1.2112295627593994
41,1.1146233081817627
42,1.057251214981079
43,1.0113139152526855
44,0.9577860832214355
45,0.8911476135253906
46,0.8423514366149902
47,0.7853734493255615
48,0.7296769618988037
49,0.6831483840942383
50,0.645392894744873
51,0.726423978805542
52,0.6955690383911133
53,0.6720089912414551
54,0.6533777713775635
55,0.6400697231292725
56,0.6321835517883301
57,0.6303105354309082
58,0.6186783313751221
59,0.6260716915130615
60,0.6496317386627197
61,0.6857113838195801
62,0.8538851737976074
63,0.8868100643157959
64,0.9280157089233398
65,0.9882466793060303
66,1.0221574306488037
67,1.0081593990325928
68,0.9799661636352539
69,0.977698802947998
70,1.019988775253296
71,1.112356185913086
72,1.191316843032837
73,1.1796848773956299
74,1.0949077606201172
75,0.9941613674163818
76,0.8998222351074219
77,0.8231287002563477
78,0.7651650905609131
79,0.7155804634094238
80,0.6679673194885254
81,0.6216356754302979
82,0.5874292850494385
83,0.5603203773498535
84,0.5616018772125244
85,0.6132566928863525
86,0.7202136516571045
87,0.8749806880950928
88,1.0282692909240723
89,1.1444923877716064
90,1.2331140041351318
91,1.3134548664093018
92,1.403062105178833
93,1.503808617591858
94,1.5680813789367676
95,1.6528582572937012
96,1.7302418947219849
97,1.7798265218734741
98,1.8168917894363403
99,1.8641105890274048
100,1.92000412940979
101,1.981911063194275
102,2.051901340484619
103,2.1265246868133545
104,2.2018380165100098
105,2.2873051166534424
106,2.3093864917755127
107,2.3792781829833984
108,2.4742085933685303
109,2.5685477256774902
110,2.6536202430725098
111,2.7361299991607666
112,2.808288812637329
113,2.8566906452178955
114,2.877194881439209
115,2.878082036972046
116,2.8683228492736816
117,2.839735269546509
118,2.648297071456909
119,2.5353269577026367
120,2.476081609725952
121,2.449662685394287
122,2.4337916374206543
123,2.6951215267181396
124,2.626018524169922
125,2.5393686294555664
126,2.4418752193450928
127,2.33432674407959
128,2.216033458709717
129,2.094191074371338
130,1.9688001871109009
131,1.8709124326705933
132,1.8167932033538818
133,1.7996406555175781
134,2.04115629196167
135,1.9449443817138672
136,1.8290168046951294
137,1.716046690940857
138,1.6152015924453735
139,1.528847336769104
140,1.4546183347702026
141,1.388472557067871
142,1.3300158977508545
143,1.28476881980896
144,1.2486891746520996
145,1.2224674224853516
146,1.203934907913208
147,1.189936876296997
148,1.1695313453674316
149,1.1354234218597412
150,1.0938234329223633
151,1.0543923377990723
152,1.0216646194458008
153,0.9950485229492188
154,0.9736571311950684
155,0.9606449604034424
156,0.9574904441833496
157,0.9833178520202637
158,1.0065820217132568
159,1.0333952903747559
160,1.0661230087280273
161,1.110680341720581
162,1.1680526733398438
163,1.2150743007659912
164,1.2263121604919434
165,1.178206205368042
166,1.124776840209961
167,1.0891902446746826
168,1.0607013702392578
169,1.017327070236206
170,0.963996410369873
171,0.9175662994384766
172,0.884148359298706
173,0.8608841896057129
174,0.8509278297424316
175,0.871431827545166
176,0.9490127563476562
177,1.0597155094146729
178,1.1138348579406738
179,1.165193796157837
180,1.2214818000793457
181,1.2854588031768799
182,1.364518165588379
183,1.4384515285491943
184,1.5053858757019043
185,1.548858642578125
186,1.5651240348815918
187,1.5715315341949463
188,1.563053846359253
189,1.5578292608261108
190,1.4996683597564697
191,1.4579699039459229
192,1.4338183403015137
193,1.4182430505752563
194,1.3553504943847656
195,1.3025126457214355
196,1.2076809406280518
197,1.1483371257781982
198,1.1446895599365234
199,1.2337055206298828
200,1.3985275030136108
201,1.6018935441970825
202,1.6153987646102905
203,1.6340299844741821
204,1.6675463914871216
205,1.734776496887207
206,1.940804123878479
207,1.9693917036056519
208,1.987924337387085
209,2.0047812461853027
210,2.0200605392456055
211,2.0228209495544434
212,2.012272834777832
213,1.986741304397583
214,1.9389311075210571
215,1.8969370126724243
216,1.835325837135315
217,1.7611953020095825
218,1.7118078470230103
219,1.6357057094573975
220,1.5553648471832275
221,1.4759111404418945
222,1.4027663469314575
223,1.3382964134216309
224,1.283585786819458
225,1.2387328147888184
226,1.202554702758789
227,1.176431655883789
228,1.1572089195251465
229,1.1442952156066895
230,1.1832334995269775
231,1.1832334995269775
232,1.1840221881866455
233,1.191316843032837
234,1.2076809406280518
235,1.2339024543762207
236,1.270967721939087
237,1.3063571453094482
238,1.3297202587127686
239,1.3424367904663086
240,1.3346490859985352
241,1.3120746612548828
242,1.2768824100494385
243,1.2366628646850586
244,1.1952600479125977
245,1.1566176414489746
246,1.1483371257781982
247,1.1707141399383545
248,1.1751501560211182
249,1.1680526733398438
250,1.1713056564331055
251,1.2011747360229492
252,1.2521395683288574
253,1.3074417114257812
254,1.3566319942474365
255,1.384726643562317
256,1.3869938850402832
257,1.3655040264129639
258,1.3405637741088867
259,1.3254814147949219
260,1.3047800064086914
261,1.2617015838623047
262,1.1933870315551758
263,1.123396873474121
264,1.058335542678833
265,1.0014560222625732
266,0.9529557228088379
267,0.9143133163452148
268,0.8826696872711182
269,0.8575325012207031
270,0.8373239040374756
271,0.8200728893280029
272,0.8047933578491211
273,0.792569637298584
274,0.778571605682373
275,0.7734456062316895
276,0.7688124179840088
277,0.7719669342041016
278,0.7888236045837402
279,0.8055820465087891
280,0.8284521102905273
281,0.859306812286377
282,0.8860213756561279
283,0.886711597442627
284,0.8783323764801025
285,0.8871057033538818
286,0.9084970951080322
287,0.9371833801269531
288,0.9689254760742188
289,0.9921896457672119
290,0.9852893352508545
291,0.9927811622619629
292,1.016341209411621
293,1.0507450103759766
294,1.0939221382141113
295,1.1536602973937988
296,1.2057092189788818
297,1.2354798316955566
298,1.2008790969848633
299,1.1923027038574219
300,1.2011747360229492
301,1.218130111694336
302,1.2724463939666748
303,1.270277738571167
304,1.2681090831756592
305,1.269587755203247
306,1.282994270324707
307,1.2920634746551514
308,1.283585786819458
309,1.2507593631744385
310,1.1733758449554443
311,1.1048641204833984
312,1.0500550270080566
313,1.0113139152526855
314,0.9839091300964355
315,0.965277910232544
316,0.9503927230834961
317,0.9346203804016113
318,0.9094829559326172
319,0.8783323764801025
320,0.8527021408081055
321,0.8368310928344727
322,0.8400840759277344
323,0.8482661247253418
324,0.8597011566162109
325,0.8785295486450195
326,0.8946962356567383
327,0.9082999229431152
328,0.9081029891967773
329,0.8905560970306396
330,0.8704462051391602
331,0.8545751571655273
332,0.8425486087799072
333,0.832099437713623
334,0.832395076751709
335,0.8515191078186035
336,0.872614860534668
337,0.8820784091949463
338,0.8746850490570068
339,0.8571381568908691
340,0.8399856090545654
341,0.832690954208374
342,0.8298320770263672
343,0.8286490440368652
344,0.8255932331085205
345,0.8118908405303955
346,0.793555498123169
347,0.7677280902862549
348,0.7448580265045166
349,0.7211008071899414
350,0.6954705715179443
351,0.6682629585266113
352,0.6428298950195312
353,0.6293249130249023
354,0.6298177242279053
355,0.6404640674591064
356,0.6501247882843018
357,0.6213400363922119
358,0.581021785736084
359,0.5338029861450195
360,0.4962446689605713
361,0.4669671058654785
362,0.4443929195404053
363,0.4367036819458008
364,0.4560251235961914
365,0.5056097507476807
366,0.5656435489654541
367,0.6365211009979248
368,0.7151861190795898
369,0.7956256866455078
370,0.8618698120117188
371,0.9590675830841064
372,1.0530123710632324
373,1.1228053569793701
374,1.179093360900879
375,1.2254247665405273
376,1.2784597873687744
377,1.3422396183013916
378,1.404146432876587
379,1.4871490001678467
380,1.6606459617614746
381,1.966040015220642
382,2.2291440963745117
383,2.4846577644348145
384,2.704190731048584
385,2.9234278202056885
386,2.9991354942321777
387,2.8992762565612793
388,2.83697509765625
389,2.8297789096832275
390,2.8051342964172363
391,2.744903326034546
392,2.6672239303588867
393,2.6013741493225098
394,2.51639986038208
395,2.4698712825775146
396,2.476180076599121
397,2.5015146732330322
398,2.505556344985962
399,2.530299425125122
400,2.557013988494873
401,2.5786025524139404
402,2.5918121337890625
403,2.5936849117279053
404,2.5781097412109375
405,2.543705940246582
406,2.4988532066345215
407,2.4589290618896484
408,2.410527467727661
409,2.3533523082733154
410,2.2818832397460938
411,2.2082457542419434
412,2.144367218017578
413,2.0976414680480957
414,2.065702199935913
415,2.0444092750549316
416,2.0318899154663086
417,2.0301156044006348
418,2.025679588317871
419,2.0364246368408203
420,2.040071964263916
421,2.0225250720977783
422,2.025876760482788
423,1.9760949611663818
424,1.9429727792739868
425,1.9304534196853638
426,1.9356780052185059
427,1.9487888813018799
428,1.9497746229171753
429,1.928580403327942
430,1.9126108884811401
431,1.8707152605056763
432,1.795894742012024
433,1.7178211212158203
434,1.641127586364746
435,1.5530974864959717
436,1.4959224462509155
437,1.4429861307144165
438,1.3913313150405884
439,1.3459856510162354
440,1.3080329895019531
441,1.2741222381591797
442,1.2407045364379883
443,1.2197072505950928
444,1.2113282680511475
445,1.230846643447876
446,1.3065543174743652
447,1.4209046363830566
448,1.5270730257034302
449,1.588388442993164
450,1.6087939739227295
451,1.5915428400039673
452,1.536142110824585
453,1.4682220220565796
454,1.410554051399231
455,1.3872896432876587
456,1.4136099815368652
457,1.4500837326049805
458,1.4446619749069214
459,1.3988232612609863
460,1.350224494934082
461,1.310497522354126
462,1.2780654430389404
463,1.2544066905975342
464,1.2471120357513428
465,1.2625887393951416
466,1.2796425819396973
467,1.3025126457214355
468,1.309906005859375
469,1.3062586784362793
470,1.2944293022155762
471,1.2892048358917236
472,1.2879230976104736
473,1.283980131149292
474,1.2787554264068604
475,1.271066427230835
476,1.2627859115600586
477,1.2516465187072754
478,1.2376484870910645
479,1.2226645946502686
480,1.2111310958862305
481,1.2081737518310547
482,1.2148771286010742
483,1.2342967987060547
484,1.2586455345153809
485,1.2677147388458252
486,1.2548010349273682
487,1.2342967987060547
488,1.2243404388427734
489,1.216848611831665
490,1.2012732028961182
491,1.2113282680511475
492,1.242774486541748
493,1.2923591136932373
494,1.3685598373413086
495,1.448506474494934
496,1.5340720415115356
497,1.615792989730835
498,1.6890363693237305
499,1.7471972703933716
500,1.787318468093872
501,1.813244342803955
502,1.8279324769973755
503,1.8512954711914062
504,1.8773199319839478
505,1.8834317922592163
506,1.8604631423950195
507,1.873672604560852
508,1.8584916591644287
509,1.8451836109161377
510,1.821130633354187
511,1.7796293497085571
512,1.7237356901168823
513,1.6731653213500977
514,1.6208205223083496
515,1.616581678390503
516,1.6492109298706055
517,1.667842149734497
518,1.6832202672958374
519,1.6584771871566772
520,1.6141172647476196
521,1.5505344867706299
522,1.4938522577285767
523,1.467729091644287
524,1.4688135385513306
525,1.49631667137146
526,1.5244114398956299
527,1.567785620689392
528,1.5913457870483398
529,1.57527756690979
530,1.5218483209609985
531,1.4404231309890747
532,1.3474643230438232
533,1.2597298622131348
534,1.1833322048187256
535,1.1178765296936035
536,1.0608985424041748
537,1.0128910541534424
538,0.9693198204040527
539,0.9377748966217041
540,0.9171719551086426
541,0.9145104885101318
542,0.9190449714660645
543,0.9347188472747803
544,0.9632079601287842
545,1.0030333995819092
546,1.0539979934692383
547,1.125072717666626
548,1.2290723323822021
549,1.3668839931488037
550,1.4776854515075684
551,1.6100754737854004
552,1.7573508024215698
553,1.9019644260406494
554,1.992557406425476
555,2.037903308868408
556,2.030214309692383
557,1.8972326517105103
558,1.7505489587783813
559,1.64822518825531
560,1.5826709270477295
561,1.5524075031280518
562,1.5194824934005737
563,1.5228341817855835
564,1.5379165410995483
565,1.5637439489364624
566,1.5958802700042725
567,1.6194404363632202
568,1.6320583820343018
569,1.6310726404190063
570,1.6339313983917236
571,1.6503938436508179
572,1.6793757677078247
573,1.7128921747207642
574,1.7422683238983154
575,1.7753905057907104
576,1.800922155380249
577,1.81423020362854
578,1.8120614290237427
579,1.9137938022613525
580,1.895162582397461
581,1.875742793083191
582,1.8589844703674316
583,1.842029094696045
584,1.8227078914642334
585,1.8003307580947876
586,1.7706587314605713
587,1.7367479801177979
588,1.7003728151321411
589,1.6630117893218994
590,1.6895291805267334
591,1.6449720859527588
592,1.6005134582519531
593,1.556350588798523
594,1.5145536661148071
595,1.4729537963867188
596,1.430860996246338
597,1.3898526430130005
598,1.349238634109497
599,1.3125677108764648
600,1.2776710987091064
601,1.244055986404419
602,1.2123141288757324
603,1.1831350326538086
604,1.1552374362945557
605,1.1285228729248047
606,1.1019067764282227
607,1.0754880905151367
608,1.0492663383483887
609,1.0232417583465576
610,0.9943585395812988
611,0.9705026149749756
612,0.9485197067260742
613,0.9268326759338379
614,0.9160876274108887
615,0.8950905799865723
616,0.8800082206726074
617,0.8761637210845947
618,0.8899645805358887
619,0.9221994876861572
620,0.9474353790283203
621,0.9546315670013428
622,0.9335360527038574
623,0.9070184230804443
624,0.8810925483703613
625,0.8578281402587891
626,0.8384084701538086
627,0.8217487335205078
628,0.819974422454834
629,0.8475761413574219
630,0.8879930973052979
631,0.9399435520172119
632,0.9885423183441162
633,1.0662217140197754
634,1.124086856842041
635,1.205019235610962
636,1.2797412872314453
637,1.3853180408477783
638,1.4801499843597412
639,1.5257915258407593
640,1.5712358951568604
641,1.6160887479782104
642,1.6298896074295044
643,1.623679280281067
644,1.6213133335113525
645,1.622003436088562
646,1.582177996635437
647,1.550337314605713
648,1.50834321975708
649,1.4615187644958496
650,1.4156800508499146
651,1.4327340126037598
652,1.388669729232788
653,1.348844289779663
654,1.3137505054473877
655,1.2872331142425537
656,1.2727422714233398
657,1.269982099533081
658,1.2634758949279785
659,1.2629830837249756
660,1.2671232223510742
661,1.2740237712860107
662,1.2982738018035889
663,1.3033013343811035
664,1.3066530227661133
665,1.3076388835906982
666,1.3061602115631104
667,1.3023154735565186
668,1.2949223518371582
669,1.283290147781372
670,1.269193410873413
671,1.2513508796691895
672,1.2286779880523682
673,1.2008790969848633
674,1.1714041233062744
675,1.1350290775299072
676,1.098752498626709
677,1.0620813369750977
678,1.0244247913360596
679,0.9870636463165283
680,0.951871395111084
681,0.9203264713287354
682,0.8937106132507324
683,0.8802053928375244
684,0.8661086559295654
685,0.8411686420440674
686,0.8209600448608398
687,0.7884294986724854
688,0.7553071975708008
689,0.7195234298706055
690,0.6847255229949951
691,0.6521949768066406
692,0.6213400363922119
693,0.59403395652771
694,0.5765857696533203
695,0.5647563934326172
696,0.5523355007171631
697,0.540703296661377
698,0.5372531414031982
699,0.5432662963867188
700,0.5481953620910645
701,0.5463223457336426
702,0.5463223457336426
703,0.5581517219543457
704,0.6032016277313232
705,0.6433229446411133
706,0.6448016166687012
707,0.6415483951568604
708,0.6391825675964355
709,0.6421399116516113
710,0.647758960723877
711,0.6541664600372314
712,0.6611654758453369
713,0.6790080070495605
714,0.7239594459533691
715,0.7803459167480469
716,0.858025312423706
717,0.9635035991668701
718,1.0474920272827148
719,1.1020054817199707
720,3.011359214782715
721,2.902036428451538
722,2.759492874145508
723,2.6158649921417236
724,2.4411849975585938
725,2.293909788131714
726,2.1779823303222656
727,2.090740919113159
728,2.0607733726501465
729,2.0960640907287598
730,2.1661529541015625
731,2.2573375701904297
732,2.316977024078369
733,2.3408327102661133
734,2.345564603805542
735,2.3258490562438965
736,2.290065288543701
737,2.2481698989868164
738,2.209231376647949
739,2.1795597076416016
740,2.159153938293457
741,2.1429872512817383
742,2.130862236022949
743,2.093895435333252
744,2.0316929817199707
745,1.9723490476608276
746,1.9132022857666016
747,1.8569144010543823
748,1.8181732892990112
749,1.7855440378189087
750,1.7579421997070312
751,1.7351707220077515
752,1.716243863105774
753,1.703330159187317
754,1.701062798500061
755,1.7126950025558472
756,1.7368465662002563
757,1.7426626682281494
758,1.7172296047210693
759,1.6731653213500977
760,1.6213133335113525
761,1.5658140182495117
762,1.5153422355651855
763,1.4666447639465332
764,1.4137084484100342
765,1.3535759449005127
766,1.297780990600586
767,1.230353832244873
768,1.1658837795257568
769,1.1177778244018555
770,1.0806140899658203
771,1.0534064769744873
772,1.017228603363037
773,0.9866693019866943
774,0.9563074111938477
775,0.92535400390625
776,0.8970620632171631
777,0.8773465156555176
778,0.8701503276824951
779,0.8761637210845947
780,0.8976535797119141
781,0.9349160194396973
782,0.99159836769104
783,1.0393099784851074
784,1.085148572921753
785,1.1286213397979736
786,1.150209903717041
787,1.1534631252288818
788,1.1473512649536133
789,1.1357190608978271
790,1.1408450603485107
791,1.1137361526489258
792,1.0778539180755615
793,1.032606601715088
794,0.9695167541503906
795,1.0351696014404297
796,0.9498999118804932
797,0.8819797039031982
798,0.8286490440368652
799,0.7828104496002197
800,0.7410135269165039
801,0.7144961357116699
802,0.6917245388031006
803,0.6847255229949951
804,0.6962592601776123
805,0.7201149463653564
806,0.8085393905639648
807,0.8110036849975586
808,0.807060718536377
809,0.8051877021789551
810,0.806469202041626
811,0.8148481845855713
812,0.8289449214935303
813,0.8417599201202393
814,0.8383097648620605
815,0.8403799533843994
816,0.8469846248626709
817,0.8386054039001465
818,0.8055820465087891
819,0.7575745582580566
820,0.7086799144744873
821,0.6633341312408447
822,0.6221287250518799
823,0.5853590965270996
824,0.5517439842224121
825,0.5203962326049805
826,0.48480963706970215
827,0.45996809005737305
828,0.43660521507263184
829,0.4151151180267334
830,0.3962869644165039
831,0.38159871101379395
832,0.36809349060058594
833,0.3590245246887207
834,0.3504481315612793
835,0.341280460357666
836,0.33211278915405273
837,0.3243250846862793
838,0.30815839767456055
839,0.3009622097015381
840,0.2924845218658447
841,0.2853868007659912
842,0.2778949737548828
843,0.27267026901245117
844,0.2724730968475342
845,0.274444580078125
846,0.27602195739746094
847,0.27838778495788574
848,0.28272509574890137
849,0.288738489151001
850,0.28735828399658203
851,0.29297733306884766
852,0.3003706932067871
853,0.3089468479156494
854,0.3195934295654297
855,0.3323099613189697
856,0.34266042709350586
857,0.35015249252319336
858,0.3526167869567871
859,0.35202550888061523
860,0.35015249252319336
861,0.34995532035827637
862,0.34689927101135254
863,0.34818077087402344
864,0.34995532035827637
865,0.3519268035888672
866,0.35310983657836914
867,0.35360264778137207
868,0.3519268035888672
869,0.3478851318359375
870,0.34266042709350586
871,0.33812594413757324
872,0.33447861671447754
873,0.33260560035705566
874,0.341280460357666
875,0.3389146327972412
876,0.33812594413757324
877,0.34088611602783203
878,0.3500537872314453
879,0.36109447479248047
880,0.3742053508758545
881,0.381894588470459
882,0.38485193252563477
883,0.38652753829956055
884,0.38307738304138184
885,0.3778529167175293
886,0.38780927658081055
887,0.4039759635925293
888,0.4354221820831299
889,0.47820496559143066
890,0.5312399864196777
891,0.6011316776275635
892,0.7116372585296631
893,0.8675873279571533
894,1.0635600090026855
895,1.2632787227630615
896,1.430565357208252
897,1.543239712715149
898,1.5758689641952515
899,1.620919108390808
900,1.7088505029678345
901,1.8387761116027832
902,2.0027108192443848
903,2.1681246757507324
904,2.294600009918213
905,2.3944592475891113
906,2.480714797973633
907,2.5526766777038574
908,2.6161606311798096
909,2.6809263229370117
910,2.6695899963378906
911,2.6458325386047363
912,2.600585460662842
913,2.542523145675659
914,2.477264642715454
915,2.411513090133667
916,2.356309413909912
917,2.3155970573425293
918,2.2876009941101074
919,2.2575345039367676
920,2.2219481468200684
921,2.1814324855804443
922,2.106809139251709
923,2.042733669281006
924,1.9866427183151245
925,1.9328192472457886
926,1.8854033946990967
927,1.8386775255203247
928,1.786332607269287
929,1.734184980392456
930,1.6834174394607544
931,1.6340299844741821
932,1.5851353406906128
933,1.5407752990722656
934,1.4926693439483643
