,Sep
0,0.9768116474151611
1,0.9527585506439209
2,0.9347188472747803
3,0.9084970951080322
4,0.8906545639038086
5,0.8844442367553711
6,0.8896689414978027
7,0.898737907409668
8,0.9055397510528564
9,0.9032726287841797
10,0.8906545639038086
11,0.872516393661499
12,0.8513221740722656
13,0.8293392658233643
14,0.8278605937957764
15,0.8239173889160156
16,0.818988561630249
17,0.8090322017669678
18,0.7987799644470215
19,0.7950341701507568
20,0.7986814975738525
21,0.806272029876709
22,0.8045961856842041
23,0.7972028255462646
24,0.7856693267822266
25,0.7717697620391846
26,0.7578701972961426
27,0.7464351654052734
28,0.7376618385314941
29,0.7292826175689697
30,0.7212979793548584
31,0.7141017913818359
32,0.7089757919311523
33,0.7056241035461426
34,0.7009909152984619
35,0.699906587600708
36,0.7026667594909668
37,0.7030611038208008
38,0.7014837265014648
39,0.6975407600402832
40,0.6932032108306885
41,0.6898515224456787
42,0.6846270561218262
43,0.6767406463623047
44,0.6686573028564453
45,0.6629397869110107
46,0.6680657863616943
47,0.6743748188018799
48,0.6739804744720459
49,0.6650099754333496
50,0.6519978046417236
51,0.6406612396240234
52,0.6265647411346436
53,0.6137495040893555
54,0.6029059886932373
55,0.59334397315979
56,0.5832889080047607
57,0.5726425647735596
58,0.5584473609924316
59,0.5487866401672363
60,0.540111780166626
61,0.5322256088256836
62,0.5250294208526611
63,0.5184247493743896
64,0.5125100612640381
65,0.5069897174835205
66,0.5024552345275879
67,0.49811768531799316
68,0.4940760135650635
69,0.4894428253173828
70,0.4799795150756836
71,0.4779093265533447
72,0.47514915466308594
73,0.47199463844299316
74,0.4692344665527344
75,0.4675586223602295
76,0.46529126167297363
77,0.4637141227722168
78,0.46361541748046875
79,0.46065807342529297
80,0.46036243438720703
81,0.4573066234588623
82,0.446857213973999
83,0.44301271438598633
84,0.43897104263305664
85,0.434436559677124
86,0.43000054359436035
87,0.42655014991760254
88,0.42231130599975586
89,0.4180724620819092
90,0.41462230682373047
91,0.4110734462738037
92,0.40663743019104004
93,0.4021029472351074
94,0.38820338249206543
95,0.3831760883331299
96,0.37844419479370117
97,0.3750927448272705
98,0.3744025230407715
99,0.37351536750793457
100,0.3738110065460205
101,0.3776557445526123
102,0.382091760635376
103,0.38948488235473633
104,0.40555310249328613
105,0.4311833381652832
