,Workability,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,2.0,73.32,79.34,85.98,90.41,95.25,96.65,96.18,94.14,87.42,87.96,85.56,76.23
1,2.5,88.46,91.01,93.53,96.0,98.6,99.0,98.51,97.48,93.4,93.96,93.97,90.06
2,3.5,98.44,98.63,98.89,99.05,99.9,99.83,99.56,99.26,97.78,98.38,98.96,98.84
