,Dec
161,1.9260174036026
162,2.0595903396606445
163,2.148704767227173
164,2.198782205581665
165,2.211203098297119
166,2.1643786430358887
167,2.1120338439941406
168,2.0346503257751465
169,1.9667301177978516
170,1.8840233087539673
171,1.6283124685287476
172,1.62949538230896
173,1.628903865814209
174,1.6073153018951416
175,1.5855296850204468
176,1.56926429271698
177,1.5601950883865356
178,1.555069088935852
179,1.583656668663025
180,1.6501966714859009
181,1.7650398015975952
182,1.8971340656280518
183,2.0447051525115967
184,2.189516067504883
185,2.3153011798858643
186,2.400768280029297
187,2.4283699989318848
188,2.401162624359131
189,2.3386640548706055
190,2.2986416816711426
191,2.241072177886963
192,2.1699976921081543
193,2.095176935195923
194,2.0130615234375
195,1.9396212100982666
196,1.8701237440109253
197,1.7945146560668945
198,1.715652346611023
199,1.6507881879806519
200,1.6091883182525635
201,1.5856282711029053
202,1.5635467767715454
203,1.5460984706878662
204,1.5177080631256104
205,1.4871490001678467
206,1.4469292163848877
207,1.4076952934265137
208,1.3594906330108643
209,1.3066530227661133
210,1.257758378982544
211,1.2195103168487549
212,1.1986117362976074
213,1.1949644088745117
214,1.1970343589782715
215,1.2018647193908691
216,1.204132080078125
217,1.1972315311431885
218,1.1797833442687988
219,1.1575047969818115
220,1.137592077255249
221,1.124185562133789
222,1.1082158088684082
223,1.0920491218566895
224,1.0749950408935547
225,1.0618841648101807
226,1.084162950515747
227,1.1124546527862549
228,1.1413381099700928
229,1.1578004360198975
230,1.1581947803497314
231,1.1744601726531982
232,1.1984145641326904
233,1.2104411125183105
234,1.2015690803527832
235,1.2068922519683838
236,1.269982099533081
237,1.395570158958435
238,1.4602372646331787
239,1.5424511432647705
240,1.6239750385284424
241,1.7795307636260986
242,1.9295662641525269
243,1.82694673538208
244,1.8249751329421997
245,1.7670114040374756
246,1.6969225406646729
247,1.6382688283920288
248,1.5930215120315552
249,1.554477572441101
250,1.5074560642242432
251,1.4659547805786133
252,1.4275094270706177
253,1.395570158958435
254,1.3898526430130005
255,1.3679683208465576
256,1.350224494934082
257,1.336226224899292
258,1.324594259262085
259,1.3138492107391357
260,1.3019213676452637
261,1.2867403030395508
262,1.2680103778839111
263,1.2473092079162598
264,1.2240447998046875
265,1.2000904083251953
266,1.1729815006256104
267,1.150012731552124
268,1.1340432167053223
269,1.1185665130615234
270,1.0954992771148682
271,1.0677003860473633
272,1.0430560111999512
273,1.0266919136047363
274,1.0115110874176025
275,1.0105252265930176
276,1.0154540538787842
277,1.0110180377960205
278,1.0008645057678223
