,Aug
0,1.8981199264526367
1,1.9478031396865845
2,1.955196499824524
3,1.967321515083313
4,1.9968948364257812
5,1.979840874671936
6,1.9486902952194214
7,1.907484769821167
8,1.8446906805038452
9,1.7842625379562378
10,1.6855860948562622
11,1.6087939739227295
12,1.5560548305511475
13,1.5328891277313232
14,1.507554531097412
15,1.4695035219192505
16,1.4196231365203857
17,1.3564348220825195
18,1.2874302864074707
19,1.2220733165740967
20,1.1576032638549805
21,1.0993437767028809
22,1.056166648864746
23,1.0404927730560303
24,1.0333952903747559
25,1.0377326011657715
26,1.05656099319458
27,1.0734179019927979
28,1.0638558864593506
29,1.0547866821289062
30,1.0396056175231934
31,1.0232417583465576
32,1.0159471035003662
33,1.0283677577972412
34,0.978388786315918
35,0.9321558475494385
36,0.8914432525634766
37,0.8731076717376709
38,0.8950905799865723
39,0.9006109237670898
40,0.8929219245910645
41,0.871924877166748
42,0.8565466403961182
43,0.8563494682312012
44,0.8558566570281982
45,0.8435344696044922
46,0.83298659324646
47,0.8378169536590576
48,0.8383097648620605
49,0.833183765411377
50,0.8302264213562012
51,0.858616828918457
52,0.872614860534668
53,0.8891758918762207
54,0.8971607685089111
55,0.9034698009490967
56,0.9106659889221191
57,0.9168763160705566
58,0.8787267208099365
59,0.8251988887786865
60,0.7685167789459229
61,0.72524094581604
62,0.7421963214874268
63,0.7184391021728516
64,0.6968505382537842
65,0.673192024230957
66,0.646181583404541
67,0.6184811592102051
68,0.5949211120605469
69,0.5751070976257324
70,0.554405689239502
71,0.5415904521942139
72,0.5313384532928467
73,0.5230579376220703
74,0.5184247493743896
75,0.5163545608520508
76,0.5163545608520508
77,0.5215792655944824
78,0.5288739204406738
79,0.5367603302001953
80,0.5492796897888184
81,0.567319393157959
82,0.5640664100646973
83,0.553321361541748
84,0.539618968963623
85,0.5291697978973389
86,0.5298597812652588
87,0.539618968963623
88,0.5584473609924316
89,0.5822045803070068
90,0.6016244888305664
91,0.6116793155670166
92,0.6046802997589111
93,0.5895979404449463
94,0.566530704498291
95,0.5617990493774414
96,0.5752055644989014
97,0.6033987998962402
98,0.6448016166687012
99,0.6914288997650146
100,0.7352960109710693
101,0.7766985893249512
102,0.818692684173584
103,0.8674888610839844
104,0.9182562828063965
105,0.9592647552490234
106,0.951575756072998
107,0.938366174697876
108,0.9356060028076172
109,0.9493083953857422
110,0.9967243671417236
111,1.0202844142913818
112,1.0417745113372803
113,1.0553781986236572
114,1.0537023544311523
115,1.044435977935791
116,1.031620979309082
117,1.0160455703735352
118,0.9797689914703369
119,0.9599547386169434
120,0.9454638957977295
121,0.9435908794403076
122,0.9693198204040527
123,1.0595183372497559
124,1.0767695903778076
125,1.0915563106536865
126,1.1081173419952393
127,1.1302971839904785
128,1.149717092514038
129,1.1410422325134277
130,1.086134433746338
131,1.04581618309021
132,1.0261991024017334
133,1.0224530696868896
134,1.124185562133789
135,1.1057515144348145
136,1.0765724182128906
137,1.043745994567871
138,1.0097365379333496
139,0.9628136157989502
140,0.9060328006744385
141,0.8495476245880127
142,0.792372465133667
143,0.7444636821746826
144,0.7038495540618896
145,0.6704318523406982
146,0.6438157558441162
147,0.6260716915130615
148,0.6156225204467773
149,0.6100034713745117
150,0.6013286113739014
151,0.5894007682800293
152,0.5790500640869141
153,0.5708682537078857
154,0.5504624843597412
155,0.5320284366607666
156,0.5161573886871338
157,0.5030467510223389
158,0.4922029972076416
159,0.4842183589935303
160,0.4804723262786865
161,0.4803736209869385
162,0.4808666706085205
163,0.48204946517944336
164,0.48648548126220703
165,0.4943718910217285
166,0.4978220462799072
167,0.5131015777587891
168,0.5334086418151855
169,0.5579545497894287
170,0.5923581123352051
171,0.6367180347442627
172,0.6824581623077393
173,0.7229738235473633
174,0.7564902305603027
175,0.7866549491882324
176,0.8130738735198975
177,0.8401827812194824
178,0.8402812480926514
179,0.8437316417694092
180,0.8501391410827637
181,0.8601939678192139
182,0.8755722045898438
183,0.89923095703125
184,0.9295928478240967
185,0.9612362384796143
186,0.9906125068664551
187,1.0116095542907715
188,1.0235373973846436
189,1.029649257659912
190,1.0281705856323242
191,1.0272834300994873
192,1.0263962745666504
193,1.0228474140167236
194,1.0158483982086182
195,1.2808256149291992
196,1.2602229118347168
197,1.2358741760253906
198,1.2087652683258057
199,1.1800789833068848
200,1.15090012550354
201,1.1209323406219482
202,1.0896832942962646
203,1.0601098537445068
204,1.032310962677002
205,1.0065820217132568
206,1.2544066905975342
207,1.202751874923706
208,1.1580963134765625
209,1.1177778244018555
210,1.0815999507904053
211,1.0502521991729736
212,1.0215659141540527
213,0.9956400394439697
214,0.9688267707824707
215,0.9477312564849854
216,0.9288041591644287
217,0.9106659889221191
218,0.8934147357940674
219,0.8780367374420166
220,0.8660101890563965
221,0.8541808128356934
222,0.8434357643127441
223,0.8343665599822998
224,0.8277618885040283
225,0.8249032497406006
226,0.819481372833252
227,0.8155384063720703
228,0.8141582012176514
229,0.8215515613555908
230,0.8477733135223389
231,0.8973579406738281
232,0.9677424430847168
233,1.0487735271453857
234,1.1338460445404053
235,1.2182285785675049
236,1.2946264743804932
237,1.3557448387145996
238,1.3801920413970947
239,1.410554051399231
240,1.4384515285491943
241,1.443577527999878
242,1.4302695989608765
243,1.4218904972076416
244,1.4238619804382324
245,1.4601386785507202
246,1.450675129890442
247,1.416862964630127
248,1.3995132446289062
249,1.3979361057281494
250,1.3455913066864014
251,1.32429838180542
252,1.3062586784362793
253,1.2947251796722412
254,1.3023154735565186
255,1.3163135051727295
256,1.323509693145752
257,1.3201582431793213
258,1.3056671619415283
259,1.2948236465454102
260,1.2932465076446533
261,1.28476881980896
262,1.2651517391204834
263,1.2381412982940674
264,1.2004847526550293
265,1.1618421077728271
266,1.1276357173919678
267,1.1811635494232178
268,1.1430137157440186
269,1.111271858215332
270,1.0918519496917725
271,1.09806227684021
272,1.1328604221343994
273,1.1656866073608398
274,1.149717092514038
275,1.1174821853637695
276,1.0907676219940186
277,1.0733191967010498
278,1.283191442489624
279,1.296499490737915
280,1.3185808658599854
281,1.3382964134216309
282,1.3396766185760498
283,1.3135533332824707
284,1.284571647644043
285,1.2510550022125244
286,1.1838250160217285
287,1.1227068901062012
288,1.0763752460479736
289,1.0423657894134521
290,1.0215659141540527
291,1.0213687419891357
292,1.056955337524414
293,1.125762701034546
294,1.125664234161377
295,1.0962879657745361
296,1.0792338848114014
297,1.0616872310638428
298,1.005892038345337
299,0.9554202556610107
300,0.9088914394378662
301,0.872122049331665
302,0.8671929836273193
303,0.8680803775787354
304,0.8521106243133545
305,0.8249032497406006
306,0.7948369979858398
307,0.766249418258667
308,0.739732027053833
309,0.724846601486206
310,0.7181434631347656
311,0.6988222599029541
312,0.6764450073242188
313,0.6569266319274902
314,0.6432242393493652
315,0.6439142227172852
316,0.6619541645050049
317,0.6662914752960205
318,0.6666858196258545
319,0.660376787185669
320,0.6411540508270264
321,0.6180870532989502
322,0.5905838012695312
323,0.5656435489654541
324,0.5465195178985596
325,0.5444493293762207
326,0.5713610649108887
327,0.6286346912384033
328,0.7165660858154297
329,0.8521106243133545
330,1.0288608074188232
331,1.216355800628662
332,1.3659968376159668
333,1.4700950384140015
334,1.4471263885498047
335,1.450379490852356
336,1.488134741783142
337,1.5648282766342163
338,1.6648848056793213
339,1.8654906749725342
340,1.941001296043396
341,1.9943318367004395
342,2.0179905891418457
343,1.9601253271102905
344,1.866772174835205
345,1.7524218559265137
346,1.6417189836502075
347,1.5184967517852783
348,1.4110468626022339
349,1.3283400535583496
350,1.363335132598877
351,1.3338603973388672
352,1.3299174308776855
353,1.3580119609832764
354,1.4094696044921875
355,1.4719680547714233
356,1.522932767868042
357,1.542746901512146
358,1.5017385482788086
359,1.4553083181381226
