,Jul
0,2.4319188594818115
1,2.502599000930786
2,2.5521836280822754
3,2.612020492553711
4,2.6601264476776123
5,2.675405979156494
6,2.6462268829345703
7,2.5681533813476562
8,2.46218204498291
9,2.3553237915039062
10,2.2088370323181152
11,2.093895435333252
12,1.9831925630569458
13,1.8666735887527466
14,1.754393458366394
15,1.6344242095947266
16,1.5132720470428467
17,1.410554051399231
18,1.3257770538330078
19,1.2523365020751953
20,1.1849093437194824
21,1.1300015449523926
22,1.0902745723724365
23,1.0791354179382324
24,1.0901761054992676
25,1.1473512649536133
26,1.2328181266784668
27,1.3928099870681763
28,1.4844874143600464
29,1.5581250190734863
30,1.6215105056762695
31,1.654534101486206
32,1.6591672897338867
33,1.6719824075698853
34,1.634522795677185
35,1.6091883182525635
36,1.603667974472046
37,1.6342270374298096
38,1.6669548749923706
39,1.7490702867507935
40,1.8303968906402588
41,1.9169483184814453
42,1.9992607831954956
43,2.064026355743408
44,2.1008944511413574
45,2.093501091003418
46,2.0037951469421387
47,1.960026741027832
48,1.9488874673843384
49,1.9369595050811768
50,1.9261159896850586
51,1.900978684425354
52,1.8440006971359253
53,1.774010419845581
54,1.714962363243103
55,1.6588715314865112
56,1.5666027069091797
57,1.463983178138733
58,1.3924156427383423
59,1.3474643230438232
60,1.3204538822174072
61,1.3001468181610107
62,1.26939058303833
63,1.2331140041351318
64,1.204526424407959
65,1.1786003112792969
66,1.163912296295166
67,1.1751501560211182
68,1.2201015949249268
69,1.282994270324707
70,1.2725450992584229
71,1.2372541427612305
72,1.1924998760223389
73,1.1543502807617188
74,1.1211295127868652
75,1.0862329006195068
76,1.0629687309265137
77,1.0651373863220215
78,1.0668132305145264
79,1.0534064769744873
80,1.0295507907867432
81,1.0071735382080078
82,0.9869651794433594
83,0.96616530418396
84,0.9417178630828857
85,0.9109616279602051
86,0.8824727535247803
87,0.8537864685058594
88,0.8253960609436035
89,0.7968084812164307
90,0.7737412452697754
91,0.7582645416259766
92,0.7573773860931396
93,0.7603347301483154
94,0.7451536655426025
95,0.7280998229980469
96,0.7062156200408936
97,0.6913301944732666
98,0.6808810234069824
99,0.7816276550292969
100,0.7487025260925293
101,0.7171576023101807
102,0.6974420547485352
103,0.6939918994903564
104,0.7077927589416504
105,0.7295784950256348
106,0.7362816333770752
107,0.7423934936523438
108,0.7575745582580566
109,0.7755157947540283
110,0.8430414199829102
111,0.8168199062347412
112,0.7817261219024658
113,0.7482097148895264
114,0.7160732746124268
115,0.6967520713806152
116,0.6846270561218262
117,0.6587996482849121
118,0.6165096759796143
119,0.5871334075927734
120,0.5624890327453613
121,0.5355772972106934
122,0.5234522819519043
123,0.5181291103363037
124,0.5232551097869873
125,0.553025484085083
