,Feb
0,0.8967664241790771
1,0.8876972198486328
2,0.8757693767547607
3,0.8615741729736328
4,0.845111608505249
5,0.8281562328338623
6,0.8101165294647217
7,0.791780948638916
8,0.7731499671936035
9,0.7553071975708008
10,0.7345073223114014
11,0.7202136516571045
12,0.7084827423095703
13,0.6961605548858643
14,0.6825568675994873
15,0.6697416305541992
16,0.6581094264984131
17,0.6498289108276367
18,0.646477460861206
19,0.6483502388000488
20,0.6535749435424805
21,0.659982442855835
22,0.6673758029937744
23,0.6821625232696533
24,0.6973435878753662
25,0.7090742588043213
26,0.7085814476013184
27,0.7075955867767334
28,0.6942875385284424
29,0.6715161800384521
30,0.645984411239624
31,0.6207485198974609
32,0.5972869396209717
33,0.5754027366638184
34,0.5516455173492432
35,0.5340001583099365
36,0.5225651264190674
37,0.5152702331542969
38,0.5094542503356934
39,0.5072855949401855
40,0.5018637180328369
41,0.49792051315307617
42,0.5032436847686768
43,0.5174388885498047
44,0.5387318134307861
45,0.5627846717834473
46,0.5907809734344482
47,0.5924568176269531
48,0.5788528919219971
49,0.5545041561126709
50,0.5254237651824951
51,0.5032436847686768
52,0.49614620208740234
53,0.501370906829834
54,0.5351829528808594
55,0.5950198173522949
56,0.6566307544708252
57,0.7805430889129639
58,0.9531528949737549
59,1.096583604812622
60,1.1759388446807861
61,1.217932939529419
62,1.2527308464050293
63,1.3614623546600342
64,1.487937569618225
65,1.622693419456482
66,1.7460143566131592
67,1.8515911102294922
68,1.9757992029190063
69,2.1267218589782715
70,2.276362895965576
71,2.4577460289001465
72,2.6557888984680176
73,2.812527656555176
74,2.9087395668029785
75,2.9394960403442383
76,2.918104648590088
77,2.863196849822998
78,2.785714626312256
79,2.688319683074951
80,2.5782082080841064
81,2.4609992504119873
82,2.3269333839416504
83,2.201542377471924
84,2.0873894691467285
85,1.980629563331604
86,1.8792915344238281
87,1.7820937633514404
88,1.6897263526916504
89,1.6051466464996338
90,1.5331847667694092
91,1.4800513982772827
92,1.4446619749069214
93,1.4182430505752563
94,1.3880783319473267
95,1.3602793216705322
96,1.3263685703277588
97,1.2895004749298096
98,1.2535195350646973
99,1.2198059558868408
100,1.1937813758850098
101,1.1689398288726807
102,1.1391692161560059
103,1.1055543422698975
104,1.071446418762207
105,1.0383241176605225
106,0.9830219745635986
107,0.9431965351104736
108,0.92535400390625
109,0.925945520401001
110,0.9858808517456055
111,1.0240304470062256
112,1.057054042816162
113,1.0735163688659668
114,1.0795297622680664
115,1.0829799175262451
116,1.0894861221313477
117,1.0954992771148682
118,1.0796282291412354
119,1.0674047470092773
120,1.0532095432281494
121,1.0218617916107178
122,0.9857821464538574
123,0.9193408489227295
124,0.8648271560668945
125,0.8238189220428467
126,0.791780948638916
127,0.764869213104248
128,0.7459423542022705
129,0.7309584617614746
130,0.6977379322052002
131,0.672896146774292
132,0.6507163047790527
133,0.6298177242279053
134,0.620354175567627
135,0.606553316116333
136,0.5927524566650391
137,0.5815145969390869
138,0.580035924911499
139,0.5983712673187256
140,0.6318879127502441
141,0.6659958362579346
142,0.6663901805877686
143,0.6559407711029053
144,0.6396753787994385
145,0.6212413311004639
146,0.6130595207214355
147,0.6189742088317871
148,0.6398725509643555
149,0.6930060386657715
150,0.8140597343444824
151,1.0159471035003662
152,1.229860782623291
153,1.3917256593704224
154,1.4448591470718384
155,1.5006541013717651
156,1.582867980003357
157,1.6779956817626953
158,1.788008451461792
159,1.9362695217132568
160,2.1108508110046387
161,2.316977024078369
162,2.531975269317627
163,2.742537498474121
164,2.9891791343688965
165,3.2412426471710205
166,3.2834339141845703
167,3.2430169582366943
168,3.0919957160949707
169,3.0173723697662354
170,3.073364734649658
171,3.2769277095794678
172,3.515584707260132
173,3.7226967811584473
174,3.8401029109954834
175,3.830836534500122
176,3.7170777320861816
177,3.565662145614624
178,3.27337908744812
179,3.059662342071533
180,2.8700971603393555
181,2.714245557785034
182,2.6181323528289795
183,2.474701404571533
184,2.345761775970459
185,2.2429451942443848
186,2.159843921661377
187,2.0706310272216797
188,1.9713631868362427
189,1.873278260231018
190,1.7678985595703125
191,1.6700108051300049
192,1.5852339267730713
193,1.5162293910980225
194,1.464377522468567
195,1.6255521774291992
196,1.622200608253479
197,1.6352128982543945
198,1.662420392036438
199,1.6984012126922607
200,1.7468029260635376
201,1.834931492805481
202,1.9217785596847534
203,2.051211357116699
204,2.3133296966552734
205,2.74194598197937
206,3.2719004154205322
207,3.2980234622955322
208,3.1371445655822754
209,2.9518182277679443
210,2.798332452774048
211,2.6967973709106445
212,2.66633677482605
213,2.6945300102233887
214,2.678166151046753
215,2.6399178504943848
216,2.5768282413482666
217,2.5081193447113037
218,2.4218637943267822
219,2.3217086791992188
220,2.2315101623535156
221,2.1570839881896973
222,2.090839385986328
223,2.027651309967041
224,1.9690959453582764
225,1.9137938022613525
226,1.8589844703674316
227,1.802006483078003
228,1.7434513568878174
229,1.683318853378296
230,1.6221020221710205
231,1.561082363128662
232,1.5009498596191406
233,1.441803216934204
234,1.383642315864563
235,1.3279457092285156
236,1.2751080989837646
237,1.2274949550628662
238,1.1873738765716553
239,1.1598706245422363
240,1.1566176414489746
241,1.1811635494232178
242,1.2182285785675049
243,1.2494778633117676
244,1.2546038627624512
245,1.2749109268188477
246,1.3209466934204102
247,1.3932043313980103
248,1.4761083126068115
249,1.5641382932662964
250,1.6008092164993286
251,1.6352128982543945
252,1.6682363748550415
253,1.7232428789138794
254,1.7981619834899902
255,1.8941768407821655
256,1.922074317932129
257,1.914089560508728
258,1.9761935472488403
259,2.0871920585632324
260,2.18705153465271
261,2.1939520835876465
262,2.120905876159668
263,2.039184808731079
264,1.9336079359054565
265,1.8081183433532715
266,1.6606459617614746
267,1.5820794105529785
268,1.4401273727416992
269,1.3193695545196533
270,1.217637300491333
271,1.1299030780792236
272,1.0518293380737305
273,0.9833178520202637
274,0.9154961109161377
275,0.8513221740722656
276,0.7911896705627441
277,0.7409148216247559
278,0.7903022766113281
279,0.7429850101470947
280,0.7023708820343018
281,0.6631369590759277
282,0.6280434131622314
283,0.5982728004455566
284,0.5714595317840576
285,0.5477023124694824
286,0.5426750183105469
287,0.5390274524688721
288,0.5334086418151855
289,0.5262124538421631
290,0.5191147327423096
291,0.5150730609893799
292,0.5158617496490479
293,0.5214807987213135
294,0.5314371585845947
295,0.5458292961120605
296,0.5637705326080322
297,0.5868377685546875
298,0.6033003330230713
299,0.6299161911010742
300,0.660376787185669
301,0.6934003829956055
302,0.7280011177062988
303,0.778965950012207
304,0.8652215003967285
305,0.9847965240478516
306,1.0946121215820312
307,1.204723596572876
308,1.4478163719177246
309,1.774010419845581
310,1.961012601852417
311,2.1395368576049805
312,2.2976558208465576
313,2.3917975425720215
314,2.409738779067993
315,2.372377872467041
316,2.3084006309509277
317,2.238213539123535
318,2.171180486679077
319,2.106710433959961
320,2.0589003562927246
321,2.0236093997955322
322,1.9511547088623047
323,1.913103699684143
324,1.9383395910263062
325,1.999852180480957
326,2.106217622756958
327,2.1362838745117188
328,2.157478094100952
329,2.1923747062683105
330,2.225792407989502
331,2.2345659732818604
332,2.214357376098633
333,2.1663501262664795
334,2.0859107971191406
335,2.01503324508667
336,1.9407055377960205
337,1.868053674697876
338,1.7928388118743896
339,1.9448457956314087
340,1.839860439300537
341,1.7450284957885742
342,1.6578857898712158
343,1.5772490501403809
344,1.5017385482788086
345,1.4306639432907104
346,1.362941026687622
347,1.3005411624908447
348,1.242380142211914
349,1.1885566711425781
350,1.2462248802185059
351,1.1878666877746582
352,1.1345360279083252
353,1.085740089416504
354,1.0416758060455322
355,1.004413366317749
356,0.9739527702331543
357,0.9495055675506592
358,0.9368875026702881
359,0.92535400390625
360,0.9148061275482178
361,0.9023854732513428
362,0.8772480487823486
363,0.8436329364776611
364,0.8096237182617188
365,0.7784731388092041
366,0.7485053539276123
367,0.7189321517944336
368,0.6917245388031006
369,0.6658971309661865
370,0.6431257724761963
371,0.6228187084197998
372,0.6048774719238281
373,0.5873305797576904
374,0.5727410316467285
375,0.5686008930206299
376,0.5911753177642822
377,0.6760506629943848
378,0.8469846248626709
379,1.071052074432373
380,1.2800369262695312
381,1.4423946142196655
382,1.507948875427246
383,1.583656668663025
384,1.680755853652954
385,1.800232172012329
386,1.8964440822601318
387,1.9624911546707153
388,2.0059640407562256
389,2.0369174480438232
390,2.066786527633667
391,2.0989229679107666
392,2.1413114070892334
393,2.1688146591186523
394,2.038593292236328
395,1.9618011713027954
396,1.9154696464538574
397,1.8699266910552979
398,1.808414101600647
399,1.7549848556518555
400,1.7264958620071411
401,1.7116106748580933
402,1.7197926044464111
403,1.7359594106674194
404,1.7473944425582886
405,1.7497602701187134
406,1.7269887924194336
407,1.7437469959259033
408,1.7397053241729736
409,1.675629734992981
410,1.622003436088562
411,1.6770098209381104
412,1.6319597959518433
413,1.6058366298675537
414,1.5897685289382935
415,1.5796149969100952
416,1.5755733251571655
