,May
179,0.9624192714691162
180,0.912341833114624
181,0.8654186725616455
182,0.8494491577148438
183,0.8011460304260254
184,0.7595460414886475
185,0.725832462310791
186,0.6979348659515381
187,0.6744735240936279
188,0.6564338207244873
189,0.6436185836791992
190,0.6284375190734863
191,0.6189742088317871
192,0.6106936931610107
193,0.6031031608581543
194,0.5989627838134766
195,0.6072432994842529
196,0.606652021408081
197,0.6031031608581543
198,0.6034975051879883
199,0.6009345054626465
200,0.594231128692627
201,0.5843732357025146
202,0.5672206878662109
203,0.5587430000305176
204,0.5515468120574951
205,0.5444493293762207
206,0.5691924095153809
207,0.5621933937072754
208,0.5590388774871826
209,0.5635733604431152
210,0.579838752746582
211,0.5967941284179688
212,0.580134391784668
213,0.5492796897888184
214,0.5146787166595459
215,0.4879641532897949
216,0.46962881088256836
217,0.4564192295074463
218,0.4551377296447754
219,0.47199463844299316
220,0.487076997756958
221,0.487668514251709
222,0.48155665397644043
223,0.474459171295166
224,0.48096513748168945
225,0.4969348907470703
226,0.501173734664917
227,0.5289726257324219
228,0.5749099254608154
229,0.633859395980835
230,0.7021737098693848
231,0.7811346054077148
232,0.8758678436279297
233,0.9843034744262695
234,1.1054556369781494
235,1.245436191558838
236,1.3825578689575195
237,1.5110048055648804
238,1.6006120443344116
239,1.6782913208007812
240,1.7571536302566528
241,1.8472537994384766
242,1.939719796180725
243,2.0479581356048584
244,2.107499122619629
245,2.1675329208374023
246,2.2074570655822754
247,2.2287497520446777
248,2.189516067504883
249,2.082953453063965
250,1.933509349822998
251,1.7952046394348145
252,1.6792771816253662
253,1.5779391527175903
254,1.5109062194824219
255,1.4142999649047852
256,1.3386907577514648
257,1.3039913177490234
258,1.3001468181610107
259,1.2859516143798828
260,1.2513508796691895
261,1.2068922519683838
262,1.1593778133392334
263,1.1095960140228271
264,1.0670104026794434
265,1.0540966987609863
266,1.1159048080444336
267,1.3337619304656982
268,1.5443241596221924
269,1.756069302558899
270,1.8624347448349
271,1.894078254699707
272,1.8931909799575806
273,1.8573086261749268
274,1.7505489587783813
275,1.6577872037887573
276,1.5501402616500854
277,1.4356913566589355
278,1.603273630142212
279,1.4520553350448608
280,1.3282415866851807
281,1.2271006107330322
282,1.1452810764312744
283,1.0796282291412354
284,1.017524242401123
285,0.9554202556610107
286,0.8908517360687256
287,0.8332822322845459
288,0.7863593101501465
289,0.7461395263671875
290,0.7051310539245605
291,0.6677701473236084
292,0.6366195678710938
293,0.6125664710998535
294,0.5916681289672852
295,0.5746140480041504
296,0.5594332218170166
297,0.5469138622283936
298,0.528085470199585
299,0.5199034214019775
300,0.514087438583374
301,0.5067925453186035
302,0.4980192184448242
303,0.4883584976196289
304,0.4783036708831787
305,0.4679529666900635
306,0.45740509033203125
307,0.4463644027709961
308,0.4377880096435547
309,0.4333522319793701
310,0.433549165725708
311,0.44882893562316895
312,0.46686863899230957
313,0.47820496559143066
314,0.48678135871887207
315,0.5033423900604248
316,0.5233535766601562
317,0.5505611896514893
318,0.5825004577636719
319,0.6138482093811035
320,0.6354365348815918
321,0.6656999588012695
322,0.6756563186645508
323,0.6990194320678711
324,0.7234666347503662
325,0.7563915252685547
326,0.8000617027282715
327,0.8303248882293701
328,0.8439288139343262
329,0.8534908294677734
330,0.8567438125610352
331,0.8600955009460449
332,0.8663058280944824
333,0.871826171875
334,0.8635456562042236
335,0.8635456562042236
336,0.8688688278198242
337,0.8838527202606201
338,0.9009068012237549
339,1.1668696403503418
340,1.136902093887329
341,1.123002529144287
342,1.1268470287322998
343,1.1263542175292969
344,1.123199701309204
345,1.1140320301055908
346,1.072037696838379
347,1.0480833053588867
348,1.0338881015777588
349,1.0207772254943848
350,1.0293536186218262
351,1.0152568817138672
352,1.0104267597198486
353,1.0117082595825195
354,1.0226502418518066
355,1.0473933219909668
356,1.1007239818572998
357,1.1728827953338623
358,1.1613492965698242
359,1.1838250160217285
360,1.2470133304595947
361,1.3214397430419922
362,1.4283965826034546
363,1.5514217615127563
364,1.6376773118972778
365,1.662223219871521
366,1.6406346559524536
367,1.5917400121688843
368,1.523622751235962
369,1.4315510988235474
370,1.297978162765503
371,1.1944713592529297
372,1.1161019802093506
373,1.0730235576629639
374,1.0688834190368652
375,1.1049628257751465
376,1.1707141399383545
377,1.2866415977478027
378,1.4211018085479736
379,1.496513843536377
380,1.503118634223938
381,1.52174973487854
382,1.4880361557006836
383,1.4349027872085571
384,1.3703341484069824
385,1.324002742767334
386,1.3063571453094482
387,1.282599925994873
388,1.2672219276428223
389,1.2774739265441895
390,1.3194680213928223
391,1.3434224128723145
392,1.3192708492279053
393,1.282895803451538
394,1.2006819248199463
