,Mar
0,3.405078887939453
1,3.2556350231170654
2,3.103332281112671
3,2.9513254165649414
4,2.8036556243896484
5,2.6588449478149414
6,2.516695737838745
7,2.3770108222961426
8,2.2475781440734863
9,2.1285948753356934
10,2.0098085403442383
11,1.9000914096832275
12,1.7999364137649536
13,1.7100334167480469
14,1.6306782960891724
15,1.5598008632659912
16,1.4961196184158325
17,1.437662959098816
18,1.384135127067566
19,1.3345506191253662
20,1.2877261638641357
21,1.243858814239502
22,1.2004847526550293
23,1.162926435470581
24,1.1277341842651367
25,1.0940206050872803
26,1.0599126815795898
27,1.0240304470062256
28,0.9895281791687012
29,0.9564061164855957
30,0.925156831741333
31,0.8977522850036621
32,0.8777408599853516
33,0.8678832054138184
34,0.8637428283691406
35,0.8649258613586426
36,0.8816840648651123
37,0.898737907409668
38,0.885430097579956
39,0.8489561080932617
40,0.8107080459594727
41,0.7814304828643799
42,0.7639820575714111
43,0.7569830417633057
44,0.7515614032745361
45,0.73992919921875
46,0.7283954620361328
47,0.7196221351623535
48,0.69911789894104
49,0.6660943031311035
50,0.6279447078704834
51,0.592850923538208
52,0.5586445331573486
53,0.5283811092376709
54,0.501568078994751
55,0.4783036708831787
56,0.4591794013977051
57,0.44843459129333496
58,0.43512654304504395
59,0.43532371520996094
60,0.4571094512939453
61,0.5059053897857666
62,0.5372531414031982
63,0.5570673942565918
64,0.5756983757019043
65,0.5953154563903809
66,0.6171996593475342
67,0.6379010677337646
68,0.6535749435424805
69,0.6713190078735352
70,0.7003993988037109
71,0.752152681350708
72,0.8210587501525879
73,0.88454270362854
74,0.9016952514648438
75,0.8727133274078369
76,0.8311135768890381
77,0.7996673583984375
78,0.7779800891876221
79,0.7810361385345459
80,0.8155384063720703
81,0.8827683925628662
82,0.9588704109191895
83,1.0653345584869385
84,1.1613492965698242
85,1.271559238433838
86,1.3514072895050049
87,1.4059208631515503
88,1.448309302330017
89,1.4668419361114502
90,1.4806427955627441
91,1.5119905471801758
92,1.5697572231292725
93,1.6413246393203735
94,1.655322790145874
95,1.6784884929656982
96,1.6968239545822144
97,1.686867594718933
98,1.6520696878433228
99,1.5988376140594482
100,1.5415639877319336
101,1.4830087423324585
102,1.4214961528778076
103,1.3586034774780273
104,1.297386646270752
105,1.2391271591186523
106,1.176234483718872
107,1.1199467182159424
108,1.0636587142944336
109,1.0089480876922607
110,0.9601519107818604
111,0.9203264713287354
112,0.8895702362060547
113,0.858912467956543
114,0.8362395763397217
115,0.818397045135498
116,0.8137638568878174
117,0.8275647163391113
118,0.8637428283691406
119,0.8961749076843262
120,0.8899645805358887
121,0.8751778602600098
122,0.858025312423706
123,0.912341833114624
124,0.898737907409668
125,0.899428129196167
126,0.9344232082366943
127,1.0075678825378418
128,1.09806227684021
129,1.1719956398010254
130,1.1964430809020996
131,1.1829378604888916
132,1.1347332000732422
133,1.0889930725097656
134,1.1140320301055908
135,1.083768606185913
136,1.0826842784881592
137,1.1044697761535645
138,1.1815576553344727
139,1.3426339626312256
140,1.5444227457046509
141,1.7136807441711426
142,1.7824881076812744
143,1.8395646810531616
144,1.887276291847229
145,1.919511318206787
146,1.9427756071090698
147,1.940409779548645
148,1.9260174036026
149,1.9088648557662964
150,1.893486738204956
151,1.8782072067260742
152,1.8619418144226074
153,1.8442964553833008
154,1.7916558980941772
155,1.7588294744491577
156,1.7402968406677246
157,1.7393109798431396
158,1.7490702867507935
159,1.7446342706680298
160,1.7317205667495728
161,1.7123992443084717
162,1.6930780410766602
163,1.673953890800476
164,1.6574914455413818
165,1.6392545700073242
166,1.5918385982513428
167,1.5395923852920532
168,1.488331913948059
169,1.4403245449066162
170,1.3969502449035645
171,1.3562376499176025
172,1.3172993659973145
173,1.2776710987091064
174,1.2410001754760742
175,1.2085680961608887
176,1.1804733276367188
177,1.1556317806243896
178,1.1315786838531494
179,1.1133418083190918
180,1.097865104675293
181,1.083275556564331
182,1.070854902267456
