,Oct
0,2.1406211853027344
1,2.3128366470336914
2,2.5095980167388916
3,2.703895092010498
4,2.861323833465576
5,2.981785774230957
6,3.075927734375
7,3.158535957336426
8,3.19441819190979
9,3.182785987854004
10,3.165436267852783
11,3.127976655960083
12,3.087954044342041
13,3.0407352447509766
14,2.971238136291504
15,2.8945446014404297
16,2.8071060180664062
17,2.701430559158325
18,2.585897445678711
19,2.481306314468384
20,2.3904175758361816
21,2.3023874759674072
22,2.2078514099121094
23,2.118441343307495
24,2.0328757762908936
25,1.9493803977966309
26,1.8697295188903809
27,2.0833475589752197
28,2.024890899658203
29,1.9709689617156982
30,1.9215813875198364
31,1.8768271207809448
32,1.8327628374099731
33,1.7861355543136597
34,1.7336920499801636
35,1.681840181350708
36,1.6329455375671387
37,1.5876983404159546
38,1.7150609493255615
39,1.6528582572937012
40,1.5971617698669434
41,1.5482672452926636
42,1.5057802200317383
43,1.4673348665237427
44,1.4326354265213013
45,1.4010905027389526
46,1.3686585426330566
47,1.3400709629058838
48,1.3124690055847168
49,1.284078598022461
50,1.2547025680541992
51,1.2251291275024414
52,1.1959500312805176
53,1.1664752960205078
54,1.136409044265747
55,1.1060471534729004
56,1.0748965740203857
57,1.044633150100708
58,1.0101308822631836
59,0.9795718193054199
60,0.9490127563476562
61,0.9223966598510742
62,0.8931190967559814
63,0.8688688278198242
64,0.8547723293304443
65,0.8513221740722656
66,0.8666017055511475
67,0.9158904552459717
68,1.0254104137420654
69,1.1947672367095947
70,1.3946830034255981
71,1.5792206525802612
72,1.696232557296753
73,1.7591252326965332
74,1.8255666494369507
75,1.906400442123413
76,1.993838906288147
77,2.0734896659851074
78,2.1384525299072266
79,2.188234329223633
80,2.227074146270752
81,2.2555630207061768
82,2.1922760009765625
83,2.1678287982940674
84,2.157576560974121
85,2.144367218017578
86,2.118638515472412
87,2.081770420074463
88,2.0317914485931396
89,1.9738277196884155
90,1.9105406999588013
91,1.8475494384765625
92,1.787811279296875
93,1.7317205667495728
94,1.6598572731018066
95,1.6006120443344116
96,1.5459012985229492
97,1.489219069480896
98,1.4273122549057007
99,1.4998655319213867
100,1.4052307605743408
101,1.3194680213928223
102,1.243760347366333
103,1.176628828048706
104,1.1167922019958496
105,1.0623772144317627
106,1.00569486618042
107,0.952660083770752
108,0.9016952514648438
109,0.8539836406707764
110,0.884739875793457
111,0.8345637321472168
112,0.7892179489135742
113,0.7474210262298584
114,0.7083842754364014
115,0.672501802444458
116,0.6402668952941895
117,0.6110880374908447
118,0.581021785736084
119,0.5557856559753418
120,0.5316340923309326
121,0.5094542503356934
122,0.4909214973449707
123,0.473966121673584
124,0.4578979015350342
125,0.4442942142486572
126,0.43039488792419434
127,0.41886115074157715
128,0.42852187156677246
129,0.46085524559020996
130,0.5111300945281982
131,0.5742197036743164
132,0.6388869285583496
133,0.685415506362915
134,0.726226806640625
135,0.7699954509735107
136,0.8155384063720703
137,0.885725736618042
138,1.0084550380706787
139,1.1462669372558594
140,1.2529280185699463
141,1.3718128204345703
142,1.4404231309890747
143,1.5403809547424316
144,1.6503938436508179
145,1.7528162002563477
146,1.8231022357940674
147,1.8580973148345947
148,1.8694337606430054
149,1.8741655349731445
150,1.880573034286499
151,1.8817559480667114
152,1.874362587928772
153,1.8564214706420898
154,1.8201448917388916
155,1.8109771013259888
156,1.8075268268585205
157,1.774799108505249
158,1.7106249332427979
159,1.620919108390808
160,1.5389022827148438
161,1.4672362804412842
162,1.4129198789596558
163,1.3716158866882324
164,1.3399722576141357
165,1.3215382099151611
166,1.3347477912902832
167,1.338197946548462
168,1.3392822742462158
169,1.338592290878296
170,1.3295230865478516
171,1.3189752101898193
172,1.2745165824890137
173,1.2238476276397705
174,1.1750516891479492
175,1.1310858726501465
176,1.0916547775268555
177,1.0529136657714844
178,1.0108208656311035
179,0.9700098037719727
180,0.9304800033569336
181,0.8953864574432373
182,0.8767552375793457
183,0.8465902805328369
184,0.8209600448608398
185,0.7993714809417725
186,0.779163122177124
187,0.7610247135162354
188,0.7446608543395996
189,0.7286913394927979
190,0.713115930557251
191,0.7020752429962158
192,0.6911330223083496
193,0.6802895069122314
194,0.6821625232696533
195,0.6775293350219727
196,0.6742763519287109
197,0.6724033355712891
198,0.672698974609375
199,0.6762478351593018
200,0.6801910400390625
201,0.6837396621704102
202,0.6890630722045898
203,0.6952733993530273
204,0.7012865543365479
205,0.7082855701446533
206,0.7157776355743408
207,0.7147917747497559
208,0.7112429141998291
209,0.7054269313812256
210,0.699413537979126
211,0.6933019161224365
212,0.686499834060669
213,0.6800923347473145
214,0.6699388027191162
215,0.6656014919281006
216,0.6612639427185059
217,0.6585037708282471
218,0.6586024761199951
219,0.6644184589385986
220,0.6762478351593018
221,0.685809850692749
222,0.6936960220336914
223,0.69980788230896
224,0.7053282260894775
225,0.7122287750244141
226,0.7102572917938232
227,0.7171576023101807
228,0.7246496677398682
229,0.727409839630127
230,0.727015495300293
231,0.724846601486206
232,0.7253396511077881
233,0.7302684783935547
234,0.7425906658172607
235,0.7649679183959961
236,0.7942454814910889
237,0.8289449214935303
238,0.8569409847259521
239,0.8900630474090576
240,0.9310715198516846
241,0.9662637710571289
242,0.9849936962127686
243,1.0089480876922607
244,0.9929783344268799
245,0.9734599590301514
246,0.9593634605407715
247,0.9501955509185791
248,0.9393520355224609
249,0.9296913146972656
250,0.9077086448669434
251,0.8937106132507324
252,0.88651442527771
253,0.884739875793457
254,0.9284098148345947
255,0.9154961109161377
256,0.8920347690582275
257,0.8641371726989746
258,0.8330850601196289
259,0.8061733245849609
260,0.7852749824523926
261,0.7702910900115967
262,0.7456467151641846
263,0.7311556339263916
264,0.7237622737884521
265,0.7278039455413818
266,0.7832047939300537
267,0.897850751876831
268,1.0464074611663818
269,1.1994988918304443
270,1.3135533332824707
271,1.377431869506836
272,1.4123283624649048
273,1.4591529369354248
274,1.5201725959777832
275,1.5553648471832275
276,1.5476757287979126
277,1.5646311044692993
278,1.616581678390503
279,1.6660677194595337
280,1.7195954322814941
281,1.7732218503952026
282,1.8059496879577637
283,1.806935429573059
284,1.795894742012024
285,1.762378215789795
286,1.7117092609405518
287,1.6651805639266968
288,1.6068224906921387
289,1.5257915258407593
290,1.430860996246338
291,1.3316917419433594
292,1.2334096431732178
293,1.1421265602111816
294,1.0602085590362549
295,0.9865708351135254
296,0.9206223487854004
297,0.8612785339355469
298,0.80686354637146
299,0.7589547634124756
300,0.7160732746124268
301,0.6755578517913818
302,0.6381967067718506
303,0.6037931442260742
304,0.5729382038116455
305,0.5462236404418945
306,0.5215792655944824
307,0.500582218170166
308,0.4854011535644531
309,0.47662782669067383
310,0.4596724510192871
311,0.4660799503326416
312,0.5042295455932617
313,0.5887107849121094
314,0.7176506519317627
315,0.8597011566162109
316,0.9836134910583496
317,1.0919504165649414
318,1.1757416725158691
319,1.2376484870910645
320,1.2653489112854004
321,1.2776710987091064
322,1.2105395793914795
323,1.149125576019287
324,1.099639654159546
325,1.1140320301055908
326,1.2098495960235596
327,1.2247347831726074
328,1.2525336742401123
329,1.2471120357513428
330,1.2145812511444092
331,1.1722915172576904
332,1.1264526844024658
333,1.0780510902404785
334,1.0229461193084717
335,0.9598562717437744
336,0.9038641452789307
337,0.845900297164917
338,0.7816276550292969
339,0.8015403747558594
340,0.739140510559082
341,0.6894571781158447
342,0.6503219604492188
343,0.620551347732544
344,0.5993571281433105
345,0.5861477851867676
346,0.5698823928833008
347,0.5600244998931885
348,0.5500681400299072
349,0.5344929695129395
350,0.5985684394836426
351,0.5703752040863037
352,0.554405689239502
353,0.5609118938446045
354,0.5916681289672852
355,0.6393797397613525
356,0.6795008182525635
357,0.7045397758483887
358,0.7219879627227783
359,0.7211008071899414
360,0.6937947273254395
361,0.6574194431304932
362,0.6167068481445312
363,0.5781629085540771
