,Jun
0,0.36937522888183594
1,0.3584330081939697
2,0.3577430248260498
3,0.36129164695739746
4,0.3590245246887207
5,0.3526167869567871
6,0.3898792266845703
7,0.5427734851837158
8,0.8345637321472168
9,1.1975274085998535
10,1.3258757591247559
11,1.244943380355835
12,1.1297059059143066
13,1.0014560222625732
14,0.8706433773040771
15,0.7553071975708008
16,0.6608695983886719
17,0.593738317489624
18,0.5827960968017578
19,0.6901473999023438
20,0.9750373363494873
21,1.3792062997817993
22,1.6384658813476562
23,1.8935853242874146
24,2.1122307777404785
25,2.2181034088134766
26,2.188628673553467
27,2.135002374649048
28,2.1669416427612305
29,2.2698569297790527
30,2.3806583881378174
31,2.47756028175354
32,2.5767295360565186
33,2.5914177894592285
34,2.4197936058044434
35,2.2456066608428955
36,2.0725040435791016
37,1.9068933725357056
38,1.7568578720092773
39,1.6275237798690796
40,1.5135678052902222
41,1.4171587228775024
42,1.3408594131469727
43,1.2800369262695312
44,1.2363669872283936
45,1.2104411125183105
46,1.1959500312805176
47,1.204526424407959
48,1.2380428314208984
49,1.283487319946289
50,1.33701491355896
51,1.5999220609664917
52,1.6452678442001343
53,1.7041187286376953
54,1.7847553491592407
55,1.874559760093689
56,1.9577594995498657
57,2.012075901031494
58,2.0079355239868164
59,1.9823054075241089
60,1.9642655849456787
61,1.934396505355835
62,1.9838825464248657
63,1.9453387260437012
64,1.9118221998214722
65,1.8831360340118408
66,1.862237572669983
67,1.847845196723938
68,1.8370016813278198
69,1.8290168046951294
70,1.8374944925308228
71,1.848436713218689
72,1.847845196723938
73,1.8392689228057861
74,1.828228235244751
75,1.8170889616012573
76,1.8056539297103882
77,1.7937259674072266
78,1.7798265218734741
79,1.7644484043121338
80,1.7470000982284546
81,1.7264958620071411
82,1.7002742290496826
83,1.676418423652649
84,1.654139757156372
85,1.6395503282546997
86,1.636001467704773
87,1.6331427097320557
88,1.6229891777038574
89,1.6057380437850952
90,1.5846424102783203
91,1.5635467767715454
92,1.5486615896224976
93,1.5476757287979126
94,1.555660605430603
95,1.5812908411026
96,1.602189302444458
97,1.6181589365005493
98,1.6215105056762695
99,1.6098783016204834
100,1.6008092164993286
101,1.6001191139221191
102,1.595091700553894
103,1.583656668663025
104,1.564039707183838
105,1.5472815036773682
106,1.5580264329910278
107,1.595091700553894
108,1.6304811239242554
109,1.647830843925476
110,1.6277209520339966
111,1.57596755027771
112,1.5176094770431519
113,1.4611244201660156
114,1.4049351215362549
115,1.3540689945220947
116,1.3164122104644775
117,1.296400785446167
118,1.3044843673706055
119,1.3303117752075195
120,1.364025354385376
121,1.3958659172058105
122,1.4317482709884644
123,1.4674334526062012
124,1.4854731559753418
125,1.4871490001678467
126,1.4835015535354614
127,1.4824172258377075
128,1.4824172258377075
129,1.4786713123321533
130,1.4238619804382324
131,1.3887683153152466
132,1.3538718223571777
133,1.310497522354126
134,1.503611445426941
135,1.3985275030136108
136,1.3122718334197998
137,1.2413945198059082
138,1.1818535327911377
139,1.1289172172546387
140,1.0751922130584717
141,1.0247204303741455
142,0.9802618026733398
143,0.9469425678253174
144,0.9145104885101318
145,0.8780367374420166
146,0.8412671089172363
147,0.8100180625915527
148,0.7888236045837402
149,0.7696011066436768
150,0.7458438873291016
151,0.7204108238220215
152,0.6948790550231934
153,0.6678688526153564
154,0.6351408958435059
155,0.6092150211334229
156,0.5875277519226074
157,0.5691924095153809
158,0.5527298450469971
159,0.5381402969360352
160,0.5250294208526611
161,0.5129044055938721
162,0.5012722015380859
163,0.4905271530151367
164,0.48096513748168945
165,0.4714031219482422
166,0.45671510696411133
167,0.44902610778808594
168,0.44202685356140137
169,0.43788671493530273
170,0.43325352668762207
171,0.42871904373168945
172,0.42487430572509766
173,0.420931339263916
174,0.41334080696105957
175,0.4045674800872803
176,0.3962869644165039
177,0.39185094833374023
178,0.382091760635376
179,0.37943005561828613
180,0.3763742446899414
181,0.3708536624908447
182,0.36957216262817383
183,0.367600679397583
184,0.3628690242767334
185,0.35419416427612305
186,0.3460121154785156
187,0.34305477142333984
188,0.3395061492919922
189,0.34374499320983887
190,0.3597145080566406
191,0.3829789161682129
192,0.4172840118408203
193,0.46144676208496094
194,0.5252265930175781
195,0.6094121932983398
